N	2gram	Vinokur_Ku_2	slovoVRo
1	и в	23	41
2	в нем	4	30
3	и т	39	28
4	т п	24	23
5	могут быть	4	19
6	но и	7	16
7	и не	16	16
8	точки зрения	14	16
9	языка в	3	16
10	не только	20	16
11	а не	10	15
12	то же	6	14
13	в пределах	4	14
14	может быть	15	14
15	не может	9	14
16	и его	3	14
17	и на	6	14
18	в то	4	14
19	в сущности	9	13
20	в его	5	13
21	слова и	5	13
22	же время	3	12
23	до конца	3	12
24	как бы	4	12
25	языка и	8	12
26	в этом	18	12
27	так и	4	11
28	в узком	4	10
29	язык и	2	10
30	узком смысле	2	10
31	в той	2	10
32	таким образом	5	9
33	все эти	12	9
34	слова в	6	8
35	прежде всего	8	8
36	в особенности	4	8
37	но в	11	8
38	литературный язык	2	8
39	как в	3	8
40	как мы	3	8
41	с точки	8	8
42	или в	4	8
43	все они	2	7
44	не в	8	7
45	и следовательно	2	7
46	на фоне	3	7
47	вовсе не	9	7
48	в своей	2	7
49	все же	7	7
50	во всяком	5	7
51	в отношении	2	6
52	того же	3	6
53	это не	6	6
54	при этом	2	6
55	и даже	2	6
56	а в	3	6
57	большинстве случаев	2	6
58	в них	4	6
59	оно не	2	6
60	слова как	3	6
61	только в	5	6
62	установка на	2	6
63	каждый данный	2	5
64	в каждый	2	5
65	с другой	8	5
66	в самом	12	5
67	всяком случае	5	5
68	все это	5	5
69	т д	14	5
70	не на	2	5
71	к нему	2	5
72	в языке	10	5
73	перед нами	4	4
74	и от	2	4
75	или меньшей	3	4
76	большей или	3	4
77	меньшей степени	3	4
78	в ней	3	4
79	один из	5	4
80	в их	2	4
81	с одной	2	4
82	лишь в	5	4
83	рядом с	2	4
84	языка но	3	4
85	и с	7	4
86	и все	2	4
87	всех этих	3	4
88	не как	2	4
89	языка как	2	4
90	данный момент	3	4
91	как и	2	4
92	еще не	5	4
93	по преимуществу	2	4
94	и потому	2	4
95	в процессе	3	4
96	язык в	2	4
97	другой стороны	7	4
98	речи в	6	4
99	и для	2	4
100	ту же	6	4
101	там где	5	4
102	ничего не	4	4
103	смысла и	2	3
104	не могут	5	3
105	никогда не	2	3
106	хотя бы	9	3
107	к тому	4	3
108	в том	19	3
109	следовательно и	2	3
110	в свою	2	3
111	в большей	3	3
112	в зависимости	4	3
113	данном случае	2	3
114	в своем	2	3
115	ни были	3	3
116	именно в	3	3
117	того что	3	3
118	с ними	2	3
119	также и	5	3
120	в результате	4	3
121	образом в	2	3
122	выходит за	2	3
123	и здесь	5	3
124	не было	4	3
125	так как	15	3
126	у него	3	3
127	с этим	3	3
128	но здесь	2	3
129	связанные с	2	3
130	не должно	2	3
131	с этой	2	3
132	по существу	5	3
133	зависимости от	5	3
134	в качестве	8	3
135	она не	2	3
136	было бы	15	3
137	конечно не	2	3
138	но оно	2	3
139	он не	3	3
140	в свое	2	3
141	бы и	4	3
142	почти всегда	2	3
143	в данном	4	3
144	выражение в	3	3
145	свою очередь	2	2
146	же как	2	2
147	в частности	2	2
148	язык не	2	2
149	одного из	2	2
150	что все	5	2
151	на все	2	2
152	этом случае	2	2
153	можно сказать	4	2
154	для нас	4	2
155	в широком	2	2
156	что они	2	2
157	на этом	3	2
158	смысле слова	2	2
159	для того	9	2
160	хотя и	4	2
161	был бы	2	2
162	и по	3	2
163	и тем	5	2
164	на том	2	2
165	уже не	8	2
166	те же	3	2
167	должно быть	4	2
168	так же	4	2
169	конечно и	2	2
170	широком смысле	4	2
171	сказать что	4	2
172	потому что	25	2
173	же и	2	2
174	того или	2	2
175	между тем	6	2
176	нисколько не	3	2
177	дело не	2	2
178	к этому	4	2
179	или иного	2	2
180	у нас	12	2
181	том что	11	2
182	но не	6	2
183	а на	2	2
184	лучшем случае	3	2
185	слов и	2	2
186	совершенно не	3	2
187	и о	4	2
188	речи но	2	2
189	а также	3	2
190	самого языка	2	2
191	на ту	2	2
192	как раз	3	2
193	так в	3	2
194	в атмосфере	2	2
195	на самом	2	2
196	если мы	4	2
197	и у	2	2
198	речь в	5	2
199	той же	2	2
200	роль в	2	2
201	в лучшем	3	2
202	можно было	9	2
203	и то	5	2
204	от этого	2	2
205	быть только	2	2
206	в другом	2	2
207	связи с	3	2
208	и вообще	2	2
209	здесь не	3	2
