N	2gram	Tiupa_Narr_1	RusskieA
1	и в	19	29
2	что в	3	22
3	том что	14	22
4	в том	18	22
5	как бы	4	18
6	состоит в	13	15
7	может быть	25	13
8	как и	7	11
9	одна из	3	11
10	в этом	17	11
11	и с	4	10
12	не только	32	10
13	о том	6	9
14	а в	11	9
15	но и	23	8
16	его в	2	8
17	данном случае	4	7
18	как в	7	7
19	или в	2	7
20	представляют собой	2	7
21	же в	4	6
22	еще не	7	6
23	при этом	9	6
24	и на	3	6
25	в данном	5	6
26	мы имеем	2	6
27	это не	2	5
28	то что	11	5
29	но не	5	5
30	не может	10	5
31	будто бы	3	5
32	но в	6	5
33	по полю	2	4
34	именно в	6	4
35	о чем	2	4
36	и все	2	4
37	не все	5	4
38	уже не	5	4
39	по существу	2	4
40	не в	14	4
41	из них	3	4
42	к нему	5	4
43	же как	3	4
44	а также	7	4
45	так же	2	4
46	то же	4	4
47	а не	12	4
48	в таком	2	4
49	далеко не	5	4
50	как это	6	4
51	что по	2	4
52	тем что	3	3
53	по всей	2	3
54	в качестве	21	3
55	не всегда	2	3
56	на первый	2	3
57	в ее	3	3
58	она не	2	3
59	было бы	4	3
60	о воскресении	2	3
61	не имеет	2	3
62	а именно	3	3
63	в отличие	5	3
64	все эти	2	3
65	или даже	2	3
66	как мы	3	3
67	и после	2	3
68	тому как	2	3
69	между тем	3	3
70	подобно тому	2	3
71	в этой	5	3
72	что это	3	3
73	отличие от	5	3
74	не менее	3	2
75	связи с	4	2
76	могут быть	3	2
77	никогда не	3	2
78	переход от	4	2
79	между собой	2	2
80	жизни в	3	2
81	с другой	8	2
82	не столько	4	2
83	из этих	3	2
84	другой день	2	2
85	прежде всего	4	2
86	совершенно очевидно	2	2
87	не что	2	2
88	говорит о	2	2
89	это и	3	2
90	и как	5	2
91	одним из	2	2
92	на другой	2	2
93	одной стороны	7	2
94	совершенно не	2	2
95	что на	2	2
96	все то	2	2
97	тем не	3	2
98	вокруг него	2	2
99	в церкви	4	2
100	один из	3	2
101	не с	3	2
102	все же	7	2
103	в форме	5	2
104	смерти и	2	2
105	тогда как	12	2
106	а с	3	2
107	не было	2	2
108	с одной	7	2
109	в четверг	2	2
110	из которых	4	2
111	и для	2	2
112	можно было	2	2
113	каждый из	2	2
114	а иногда	2	2
115	пока еще	4	2
116	одно из	2	2
117	на себя	3	2
118	и ее	2	2
119	что иное	2	2
120	в то	3	2
121	представляет собой	13	2
122	когда мы	2	2
123	та же	2	2
124	есть в	2	2
125	иное как	2	2
