N	3gram	Vinokur_Vv_1	slovoVRo
1	и т п	5	33
2	не может быть	8	15
3	в отличие от	3	12
4	в этом случае	6	6
5	с одной стороны	4	5
6	то же время	5	4
7	в то же	5	4
8	в том что	12	4
9	по отношению к	4	4
10	но все же	3	4
11	с точки зрения	2	3
12	одной стороны и	3	3
13	в собственном смысле	2	3
14	сама по себе	3	3
15	в этом отношении	3	3
16	но в то	3	3
17	а также и	2	2
18	не только в	4	2
19	может быть и	2	2
20	не могут быть	2	2
21	и в особенности	4	2
22	и т д	37	2
23	хотя бы и	2	2
24	в связи с	2	2
25	до сих пор	5	2
26	во всяком случае	3	2
27	для того чтобы	21	2
