N	2gram	Savitsky_E_1	SlovoVZh
1	не может	9	16
2	точки зрения	23	14
3	может быть	6	14
4	как бы	6	13
5	таким образом	2	12
6	и в	37	12
7	и не	14	10
8	если бы	2	9
9	так как	7	9
10	прежде всего	9	8
11	для нас	4	7
12	сказать что	4	7
13	в процессе	4	6
14	в том	11	6
15	только в	9	6
16	в ней	4	6
17	то что	6	5
18	должна быть	2	5
19	никогда не	3	5
20	а не	2	5
21	можно сказать	4	5
22	то же	15	5
23	хотя бы	15	5
24	как и	7	5
25	том что	6	5
26	отнюдь не	9	5
27	как в	3	5
28	но в	14	5
29	и к	3	4
30	ни было	4	4
31	жизни и	2	4
32	так и	10	4
33	с другой	7	4
34	не в	5	4
35	в этом	12	4
36	и на	6	4
37	дело в	3	4
38	в самом	4	4
39	к нему	2	4
40	не только	18	4
41	в котором	2	3
42	в них	3	3
43	отношении к	15	3
44	точка зрения	2	3
45	и более	2	3
46	бы то	4	3
47	не к	2	3
48	когда он	3	3
49	в своей	8	3
50	в некоторых	2	3
51	то ни	4	3
52	и по	5	3
53	по себе	4	3
54	этой точки	5	3
55	но и	14	3
56	того что	7	3
57	и наконец	2	3
58	так же	9	3
59	мы не	4	3
60	ведь и	2	3
61	и с	2	3
62	о том	3	3
63	в каком	4	3
64	в себе	9	3
65	в пределах	25	3
66	и для	3	3
67	между тем	8	3
68	имеет в	2	3
69	место в	3	2
70	с этой	6	2
71	что и	3	2
72	независимо от	4	2
73	что в	21	2
74	как не	2	2
75	данном случае	2	2
76	вместе с	2	2
77	в этих	2	2
78	между собой	2	2
79	в своем	14	2
80	в отношении	32	2
81	в какой	2	2
82	другой стороны	2	2
83	влияние на	2	2
84	и все	2	2
85	тогда когда	2	2
86	с одной	8	2
87	поскольку они	2	2
88	и что	2	2
89	не есть	2	2
90	можем сказать	2	2
91	с точки	17	2
92	как же	2	2
93	как на	3	2
94	стороны и	6	2
95	и притом	4	2
96	с другими	2	2
97	такой же	2	2
98	в данном	3	2
99	и то	2	2
100	мы можем	3	2
101	но не	5	2
102	могут быть	2	2
103	она не	2	2
104	в то	16	2
105	одной стороны	8	2
106	ни на	3	2
107	и та	2	2
108	имеет место	2	2
109	там где	3	2
110	как это	4	2
111	к ним	3	2
112	он не	2	2
113	известной степени	3	2
114	в его	2	2
115	и потому	5	2
116	между ними	2	2
