N	2gram	Bakhtin_KF_1	slovoVRo
1	и в	24	39
2	может быть	45	37
3	и его	17	33
4	не только	5	24
5	и не	26	22
6	но и	9	21
7	не может	27	20
8	в нем	28	19
9	до конца	3	17
10	все это	10	16
11	в этом	14	16
12	так и	2	15
13	а не	17	14
14	слова в	2	13
15	как в	2	13
16	в процессе	2	13
17	во всех	11	12
18	вовсе не	7	10
19	не в	12	9
20	прежде всего	2	8
21	себя в	8	8
22	оно не	2	8
23	точки зрения	12	8
24	при этом	4	7
25	для него	8	7
26	еще не	4	7
27	в его	40	7
28	как бы	9	7
29	никогда не	5	7
30	и потому	2	7
31	могут быть	3	7
32	с ним	5	7
33	в него	2	7
34	все же	5	6
35	как и	5	6
36	в своем	16	6
37	но не	12	6
38	жизни и	8	6
39	там где	5	6
40	все эти	10	6
41	но в	5	6
42	это не	10	5
43	и для	9	5
44	и все	7	5
45	по себе	2	5
46	для нас	4	5
47	том что	4	5
48	но все	5	5
49	или иной	2	5
50	только в	16	5
51	в том	6	5
52	и их	6	5
53	той или	3	5
54	один из	2	5
55	мышления и	2	5
56	уже не	7	5
57	с ними	3	5
58	от него	3	5
59	конечно не	7	5
60	мира и	4	5
61	не менее	3	4
62	всех этих	3	4
63	себя и	2	4
64	и мир	2	4
65	но здесь	3	4
66	ни в	12	4
67	отношению к	22	4
68	же время	2	4
69	в смысле	6	4
70	как предмет	2	4
71	по отношению	26	4
72	для этого	2	4
73	входит в	3	4
74	то же	5	4
75	и других	2	4
76	а в	4	4
77	и на	3	4
78	дело с	2	4
79	в основе	5	4
80	в то	3	4
81	отношении к	2	4
82	отношение к	5	4
83	его в	5	4
84	здесь не	3	4
85	во всем	7	4
86	или как	2	4
87	смысла и	2	3
88	что в	4	3
89	хотя бы	4	3
90	должна быть	4	3
91	в свою	3	3
92	что и	7	3
93	из себя	8	3
94	но это	6	3
95	всех его	2	3
96	и как	2	3
97	как к	2	3
98	в ней	3	3
99	к нему	12	3
100	быть и	3	3
101	бы и	3	3
102	в контексте	5	3
103	лишь в	8	3
104	с точки	9	3
105	рядом с	3	3
106	между тем	4	3
107	может иметь	2	3
108	говорить о	2	3
109	единый и	3	3
110	в чем	4	3
111	может не	2	2
112	а лишь	3	2
113	в данном	2	2
114	не было	8	2
115	независимо от	3	2
116	ни к	2	2
117	включает в	2	2
118	его и	2	2
119	жизни в	5	2
120	как предмета	2	2
121	тогда когда	3	2
122	конечно в	2	2
123	в себе	21	2
124	и здесь	7	2
125	что он	2	2
126	с ее	2	2
127	на нем	2	2
128	лишь при	3	2
129	но лишь	6	2
130	и единственный	5	2
131	себе как	2	2
132	со всеми	2	2
133	проникает в	5	2
134	нем и	3	2
135	ним и	3	2
136	вокруг него	2	2
137	о нем	4	2
138	должен быть	7	2
139	и единственного	12	2
140	то что	7	2
141	дело в	2	2
142	его как	5	2
143	в их	8	2
144	субъективный процесс	3	2
145	есть на	2	2
146	смысл и	6	2
147	и ни	3	2
148	в виде	2	2
149	именно в	5	2
150	еще более	2	2
151	чем не	4	2
152	это и	2	2
153	в себя	7	2
154	но эта	5	2
155	мы не	3	2
156	именно на	2	2
157	того чтобы	2	2
158	для того	3	2
159	в единое	2	2
160	менее всего	6	2
161	всем его	3	2
162	людей и	2	2
163	он не	6	2
164	но как	5	2
165	в другом	3	2
166	единого и	9	2
167	не знает	5	2
168	о том	3	2
169	только с	3	2
170	в области	2	2
171	контекста в	2	2
172	предмет как	2	2
173	в одном	4	2
174	из него	3	2
