N	2gram	Trubetskoy_1	Myshleni
1	и в	14	25
2	в том	17	23
3	том что	9	20
4	что в	4	17
5	так же	2	17
6	таким образом	11	17
7	с тем	6	16
8	как и	4	15
9	то что	13	15
10	в его	4	15
11	в этом	17	14
12	вместе с	4	14
13	может быть	9	13
14	между собой	5	13
15	так как	4	12
16	в качестве	3	12
17	на основании	2	11
18	что они	3	10
19	как бы	4	10
20	и не	19	10
21	и что	2	10
22	того что	3	10
23	было бы	5	10
24	что и	3	10
25	только в	5	10
26	связи с	3	9
27	ни в	2	9
28	того чтобы	8	8
29	тем что	3	8
30	все эти	2	7
31	по себе	2	7
32	для того	6	7
33	мы можем	2	7
34	в области	2	7
35	не в	4	6
36	не может	22	6
37	и на	5	6
38	потому что	5	6
39	приходит к	3	6
40	мы должны	7	6
41	что он	6	6
42	в силу	2	6
43	но не	4	6
44	не только	9	6
45	все же	4	6
46	благодаря этому	2	6
47	точки зрения	11	6
48	все это	6	6
49	можно было	4	6
50	именно в	3	5
51	что это	3	5
52	и как	3	5
53	но это	2	5
54	для него	6	5
55	при этом	5	5
56	друг с	14	5
57	на этой	2	5
58	и по	3	5
59	если бы	6	5
60	тот факт	2	5
61	мы уже	2	5
62	и к	6	5
63	о том	7	5
64	из которых	5	5
65	в этой	4	5
66	и т.д	4	5
67	факт что	2	5
68	с другом	14	5
69	не могут	4	4
70	в частности	2	4
71	никогда не	5	4
72	в своем	6	4
73	из этих	3	4
74	прежде всего	8	4
75	на то	5	4
76	к тому	7	4
77	что с	2	4
78	всяком случае	6	4
79	отнюдь не	7	4
80	из них	3	4
81	но и	10	4
82	от того	4	4
83	друг друга	3	4
84	а в	5	4
85	в то	10	4
86	с ним	2	4
87	тогда когда	4	4
88	с этим	2	4
89	что оно	3	4
90	еще не	3	4
91	мы говорили	3	4
92	он не	5	4
93	приводит к	4	4
94	во всяком	9	4
95	в самом	3	3
96	не можем	2	3
97	в котором	2	3
98	если в	6	3
99	на том	3	3
100	отличается от	2	3
101	по отношению	2	3
102	путь к	4	3
103	в результате	2	3
104	их в	2	3
105	между тем	5	3
106	во всем	4	3
107	последнее время	2	3
108	его в	4	3
109	пути к	2	3
110	были бы	2	3
111	по этому	2	3
112	состоит в	2	3
113	то в	3	3
114	или иной	5	3
115	не есть	3	3
116	или менее	4	3
117	а с	2	3
118	этот вопрос	2	3
119	в виде	3	3
120	место в	2	2
121	то же	11	2
122	можно ли	3	2
123	в этих	2	2
124	все они	3	2
125	тому что	2	2
126	и от	2	2
127	и вместе	2	2
128	для нас	2	2
129	так что	2	2
130	является не	2	2
131	той или	3	2
132	в нем	5	2
133	в корне	4	2
134	для этого	3	2
135	и только	5	2
136	в совершенно	4	2
137	должно быть	3	2
138	как на	8	2
139	на себя	2	2
140	в своих	6	2
141	не тем	2	2
142	к той	2	2
143	в начале	2	2
144	того или	2	2
145	всех этих	3	2
146	главным образом	3	2
147	и во	3	2
148	с нею	3	2
149	ясно что	2	2
150	или иного	2	2
151	таким же	3	2
152	в таком	2	2
153	к данному	2	2
154	одна из	3	2
155	о котором	3	2
156	все что	4	2
157	есть и	2	2
158	указывает на	2	2
159	лежит не	2	2
160	и потому	3	2
161	чтобы их	2	2
162	не будет	7	2
163	в мире	4	2
164	этом и	2	2
165	в своей	5	2
166	в течение	2	2
167	уже не	2	2
168	тем самым	2	2
169	и для	6	2
170	или в	3	2
171	и то	4	2
172	в себе	9	2
173	которых каждый	2	2
