N	2gram	Vygotskiy__6	Problema
1	то что	28	38
2	и не	11	37
3	и в	28	35
4	сказать что	13	24
5	не только	16	24
6	том что	19	19
7	может быть	13	18
8	у нас	2	18
9	что такое	3	18
10	в этом	27	17
11	но и	10	16
12	и вообще	2	16
13	что мы	11	14
14	только в	18	14
15	не менее	2	13
16	и что	6	13
17	потому что	22	13
18	не может	19	13
19	в том	28	12
20	того что	24	12
21	что в	17	11
22	прежде всего	2	11
23	так что	6	11
24	еще не	8	10
25	а не	3	10
26	в данном	2	10
27	и то	4	10
28	если мы	2	9
29	для нас	2	9
30	в этой	5	9
31	только на	2	9
32	было бы	9	8
33	ясно что	4	8
34	по себе	3	8
35	как раз	6	8
36	все же	2	8
37	казалось бы	2	7
38	в конце	2	7
39	этом случае	2	7
40	все эти	2	7
41	не имеет	6	7
42	в его	3	7
43	так и	6	7
44	так как	10	7
45	тем самым	8	7
46	мы не	6	7
47	с другой	2	6
48	что все	5	6
49	можно сказать	6	6
50	а только	2	6
51	определенного рода	2	6
52	но это	2	6
53	мы и	4	6
54	но как	3	6
55	в то	6	6
56	когда мы	6	6
57	на то	4	6
58	же самое	6	6
59	относится к	4	6
60	мы можем	9	6
61	но в	5	6
62	в области	6	6
63	в частности	4	5
64	в самом	8	5
65	языка и	5	5
66	в связи	2	5
67	с этим	4	5
68	так же	15	5
69	и на	5	5
70	что всякий	2	5
71	своего собственного	2	5
72	и более	2	5
73	между собой	9	5
74	систему отношений	2	5
75	и все	5	5
76	раз и	2	5
77	этом смысле	2	5
78	как и	6	5
79	связи с	3	5
80	по своему	2	5
81	то же	7	5
82	как мы	10	5
83	другой стороны	2	5
84	можно было	7	5
85	с другими	2	5
86	в себе	4	5
87	не могут	5	4
88	что если	2	4
89	в этих	2	4
90	в своем	7	4
91	в отношении	10	4
92	что на	4	4
93	и как	6	4
94	есть в	3	4
95	и той	3	4
96	и следовательно	4	4
97	как бы	11	4
98	и тем	5	4
99	все это	2	4
100	и только	3	4
101	мы говорим	2	4
102	таким образом	18	4
103	но только	2	4
104	заключается в	7	4
105	а в	2	4
106	вообще не	6	4
107	система отношений	3	4
108	но если	4	4
109	и здесь	3	4
110	для каждого	2	4
111	значение слова	3	4
112	тем что	8	4
113	если бы	7	4
114	представить себе	3	4
115	что он	18	4
116	но не	10	4
117	что при	4	4
118	до сих	3	4
119	языке и	2	4
120	сих пор	3	4
121	самом деле	2	4
122	как только	2	3
123	он сам	2	3
124	в нашем	4	3
125	тому что	11	3
126	и от	2	3
127	из этих	3	3
128	вопрос о	5	3
129	к тому	10	3
130	что они	2	3
131	нашего исследования	5	3
132	в нашей	3	3
133	несмотря на	2	3
134	значительной мере	2	3
135	хотя и	3	3
136	мы уже	2	3
137	и является	2	3
138	один из	3	3
139	но мы	3	3
140	в целом	3	3
141	только то	3	3
142	в их	3	3
143	для этого	2	3
144	при этом	3	3
145	этой области	2	3
146	и наконец	2	3
147	и по	3	3
148	не знает	3	3
149	в своих	3	3
150	в основе	3	3
151	языка в	2	3
152	мы должны	3	3
153	могли бы	9	3
154	его в	6	3
155	а это	3	3
156	бы в	3	3
157	к предмету	6	3
158	с тем	5	3
159	только не	3	3
160	тогда когда	6	3
161	в случае	3	3
162	и к	6	3
163	для нашей	2	3
164	только тогда	4	3
165	и того	4	3
166	это и	3	3
167	она не	2	3
168	не являются	2	3
169	по самому	2	3
170	на том	2	3
171	оно не	4	3
172	внимание на	2	3
173	всем этим	2	3
174	в значительной	2	3
175	с самого	7	3
176	в свете	5	3
177	для того	8	3
178	нас в	2	3
179	к понятию	4	3
180	предмета и	2	3
181	самого начала	7	2
182	ничего нового	2	2
183	мы могли	12	2
184	в той	4	2
185	не в	4	2
186	только по	4	2
187	является не	2	2
188	независимо от	3	2
189	что с	3	2
190	себе и	2	2
191	совпадает с	4	2
192	как они	2	2
193	в зависимости	5	2
194	и др	2	2
195	себе что	2	2
196	друг к	3	2
197	в состоянии	4	2
198	на этой	5	2
199	отличается от	3	2
200	мышления и	7	2
201	что оно	7	2
202	можно только	2	2
203	в системе	3	2
204	между этими	4	2
205	как на	3	2
206	точки зрения	13	2
207	о предмете	2	2
208	что всякое	2	2
209	мы назвали	2	2
210	в плане	3	2
211	это в	2	2
212	для всех	2	2
213	думается что	5	2
214	были бы	2	2
215	в них	3	2
216	содержится в	5	2
217	в такой	2	2
218	с понятием	2	2
219	понятий не	4	2
220	представляет собой	3	2
221	зависимости от	5	2
222	возможно только	3	2
223	в качестве	4	2
224	если я	4	2
225	он не	7	2
226	понятий в	12	2
227	еще в	2	2
228	что и	4	2
229	не совпадает	2	2
230	отношение между	3	2
231	во всех	4	2
232	к другу	4	2
233	вместе с	7	2
234	мысли и	2	2
235	нами в	2	2
236	одной и	3	2
237	того чтобы	10	2
238	исследования в	3	2
239	что их	3	2
240	той же	4	2
241	которые в	4	2
242	из этого	2	2
243	структуры и	2	2
