N	2gram	Medvedev_U_1	Literetu
1	не только	10	24
2	но и	4	17
3	а не	10	16
4	в том	2	16
5	в частности	3	15
6	том что	2	14
7	может быть	6	13
8	и не	8	12
9	в этом	7	12
10	прежде всего	8	11
11	то что	7	10
12	не в	2	8
13	и в	14	8
14	только в	2	8
15	в его	2	7
16	в себе	2	7
17	как и	3	6
18	эстетического объекта	6	6
19	с его	2	5
20	что он	2	5
21	же время	3	5
22	в конечном	4	5
23	не может	7	5
24	то же	5	5
25	одним из	2	5
26	не столько	2	5
27	в то	3	5
28	перестает быть	5	4
29	конечном счете	4	4
30	для этого	3	4
31	это не	3	4
32	в конце	2	4
33	но не	2	4
34	все же	3	4
35	в художественном	5	4
36	в своей	3	4
37	как раз	2	4
38	не как	3	4
39	в этой	4	4
40	с другой	4	3
41	сводится к	2	3
42	художественного творчества	5	3
43	в самом	2	3
44	в их	4	3
45	таким образом	2	3
46	более чем	2	3
47	но в	3	3
48	произведения искусства	3	3
49	в области	3	3
50	а как	2	2
51	должна быть	2	2
52	это уже	2	2
53	искусства как	2	2
54	все они	2	2
55	превращается в	2	2
56	для него	3	2
57	было бы	3	2
58	в искусстве	6	2
59	и является	2	2
60	не есть	2	2
61	художественное произведение	5	2
62	и только	5	2
63	этом отношении	2	2
64	самом деле	2	2
65	что такое	4	2
66	хотя бы	5	2
67	и то	3	2
68	не случайно	2	2
69	между тем	2	2
70	тем что	2	2
71	могут быть	2	2
72	в россии	4	2
