N	2gram	Propp_Isto_6	Myslijsy
1	потому что	13	52
2	и в	26	39
3	может быть	11	27
4	в том	12	26
5	только в	5	25
6	что в	12	22
7	не может	6	22
8	а не	2	21
9	так как	18	21
10	не только	10	21
11	в нем	8	20
12	но и	9	20
13	и не	10	18
14	том что	10	16
15	так что	3	16
16	не в	3	15
17	в этом	12	15
18	если бы	3	14
19	отношению к	2	13
20	так и	5	13
21	по отношению	2	13
22	в себе	3	13
23	таким образом	12	13
24	было бы	2	12
25	точно так	2	11
26	мы не	6	10
27	что не	2	10
28	не есть	2	10
29	то что	6	10
30	как в	6	10
31	и что	5	10
32	могут быть	3	9
33	для нас	2	9
34	как и	5	9
35	там же	3	9
36	тем что	5	9
37	но в	7	9
38	в одном	3	8
39	но не	2	8
40	вместе с	8	8
41	со стороны	3	8
42	того что	2	8
43	с другой	10	7
44	в ней	5	7
45	с этим	2	7
46	должны быть	2	7
47	это не	4	7
48	то и	2	7
49	в этих	2	7
50	независимо от	3	6
51	от нее	2	6
52	и как	2	6
53	еще не	9	6
54	как бы	4	6
55	что и	4	6
56	все же	8	6
57	и т	10	6
58	то же	5	6
59	при этом	3	6
60	и по	4	6
61	того как	3	6
62	зависит от	4	5
63	с тем	4	5
64	вовсе не	2	5
65	но это	4	5
66	что при	2	5
67	в его	5	5
68	то это	5	5
69	другой стороны	8	5
70	так же	2	5
71	а в	3	5
72	не имеет	2	5
73	и его	7	5
74	быть только	2	5
75	никогда не	13	4
76	однако в	2	4
77	тем самым	2	4
78	вопрос о	3	4
79	прежде всего	4	4
80	мы видели	11	4
81	мы видим	5	4
82	самого себя	2	4
83	от него	3	4
84	к тому	2	4
85	от того	3	4
86	увидим что	2	4
87	в своих	3	4
88	т д	8	4
89	не было	3	4
90	и других	3	4
91	в более	6	4
92	говорит он	2	4
93	из этих	4	4
94	в то	5	4
95	что мы	2	4
96	там где	5	4
97	что это	2	3
98	в них	3	3
99	и от	3	3
100	не могло	2	3
101	и это	8	3
102	показывает что	3	3
103	о котором	2	3
104	так например	3	3
105	человеком и	2	3
106	когда в	2	3
107	в этой	2	3
108	в своем	2	3
109	того же	2	3
110	она не	3	3
111	одной стороны	7	3
112	в своей	3	3
113	относится к	2	3
114	никто не	2	3
115	и тем	4	3
116	на него	2	3
117	или же	2	3
118	с одной	7	3
119	но при	2	3
120	не так	2	3
121	как на	3	3
122	с ним	8	3
123	должна быть	3	3
124	и то	3	3
125	сказать что	3	3
126	во всяком	2	3
127	он не	2	3
128	мы должны	2	3
129	и другое	2	3
130	том как	3	3
131	и с	6	3
132	но как	4	3
133	но он	2	2
134	с этой	2	2
135	связь с	11	2
136	стороны и	2	2
137	на то	2	2
138	таким же	3	2
139	как мы	4	2
140	жизни и	2	2
141	уже не	7	2
142	у нас	5	2
143	но все	2	2
144	не будет	5	2
145	все что	4	2
146	только то	2	2
147	после этого	4	2
148	его с	3	2
149	но эти	2	2
150	из этого	3	2
151	образом и	2	2
152	что же	2	2
153	только что	2	2
154	и только	3	2
155	тогда как	2	2
156	что оно	4	2
157	в народе	2	2
158	в одно	2	2
159	или в	3	2
160	то он	2	2
161	известно что	2	2
162	что иное	2	2
163	видно что	2	2
164	как будто	3	2
165	о том	7	2
166	при помощи	3	2
167	когда мы	2	2
168	не потому	3	2
169	в других	4	2
170	именно что	2	2
171	из него	2	2
172	мы можем	7	2
