N	2gram	Tiupa_Anal_3	Poddanst
1	не только	22	17
2	и в	18	14
3	и не	12	12
4	в этом	14	10
5	то же	3	9
6	в том	9	9
7	в качестве	12	9
8	но в	2	9
9	в пределах	4	8
10	же время	3	7
11	в то	3	7
12	только в	2	7
13	но и	13	6
14	в ней	2	6
15	было бы	3	6
16	с другой	7	5
17	не в	6	5
18	о в	2	5
19	может быть	9	5
20	же в	2	4
21	то что	2	4
22	что в	9	4
23	в своем	4	4
24	и е	3	4
25	не может	2	4
26	по себе	4	4
27	и к	4	4
28	а в	10	4
29	том что	12	4
30	на пути	2	4
31	в русской	7	4
32	а также	2	4
33	как бы	10	4
34	и потому	2	4
35	в нем	2	3
36	с тем	2	3
37	в сравнении	2	3
38	и без	3	3
39	столь же	4	3
40	это не	2	3
41	с одной	2	3
42	прежде всего	5	3
43	тем самым	4	3
44	с точки	2	3
45	сводится к	2	3
46	мы не	3	3
47	сравнении с	2	3
48	и как	4	3
49	между тем	5	3
50	но не	7	3
51	могут быть	2	3
52	точки зрения	3	3
53	в себе	2	3
54	что мы	2	3
55	одной стороны	2	3
56	хотя и	2	3
57	я и	3	3
58	не менее	4	2
59	осуществляется в	2	2
60	в мире	5	2
61	именно в	3	2
62	во всех	2	2
63	в частности	12	2
64	отнюдь не	4	2
65	со стороны	9	2
66	в них	2	2
67	все это	3	2
68	как раз	7	2
69	не столько	3	2
70	отношения к	2	2
71	с этим	3	2
72	в жизни	2	2
73	и вот	2	2
74	в значительной	2	2
75	а не	9	2
76	в ее	3	2
77	говорить о	3	2
78	если в	3	2
79	есть не	2	2
80	одна из	2	2
81	не было	3	2
82	в начале	6	2
83	более чем	2	2
84	в общем	2	2
85	например в	2	2
86	мысль о	3	2
87	да и	2	2
88	о и	2	2
89	в сочетании	3	2
90	в его	7	2
