N	2gram	Bakhtin_Pr_1	VelikijI
1	великого инквизитора	2	36
2	и не	31	20
3	и в	29	16
4	то что	15	9
5	так как	6	9
6	еще не	5	8
7	в истории	2	8
8	и потому	6	7
9	а не	22	7
10	не есть	2	6
11	в мире	6	5
12	как бы	19	5
13	но и	14	5
14	все это	6	5
15	на себя	2	5
16	и есть	2	4
17	что он	8	4
18	в нем	19	4
19	как и	12	4
20	все что	3	4
21	в котором	2	4
22	так и	7	4
23	потому что	8	4
24	в этом	22	4
25	в ней	2	4
26	в его	24	4
27	с его	9	3
28	должна быть	5	3
29	что в	8	3
30	в них	3	3
31	превращается в	4	3
32	в конце	6	3
33	в жизни	2	3
34	ни в	3	3
35	в том	8	3
36	не в	7	3
37	но это	4	3
38	за ним	3	3
39	тот же	2	3
40	этого мира	6	3
41	никогда не	3	3
42	оно не	3	3
43	что и	4	3
44	жизни и	2	3
45	как не	8	3
46	в своей	8	3
47	бы и	4	3
48	тому что	3	3
49	не было	4	3
50	и что	2	3
51	хотя бы	2	3
52	и для	4	3
53	должно быть	4	3
54	их в	4	3
55	все эти	9	3
56	но в	7	3
57	не могут	6	2
58	его и	2	2
59	это не	9	2
60	в духе	3	2
61	прежде всего	7	2
62	что было	4	2
63	его к	2	2
64	том что	7	2
65	одна из	3	2
66	но не	9	2
67	конечно не	2	2
68	для него	18	2
69	и сам	2	2
70	ивана карамазова	4	2
71	и во	2	2
72	не только	15	2
73	один из	2	2
74	и т	4	2
75	в форме	7	2
76	тем что	4	2
77	в себя	3	2
78	уже не	13	2
79	а в	7	2
80	с ним	5	2
81	можно было	2	2
82	между тем	5	2
83	могут быть	6	2
84	мир и	5	2
85	только в	10	2
86	и это	5	2
87	во всяком	5	2
88	мира в	5	2
