N	2gram	Vygotskiy__2	VerxiiNi
1	и в	32	26
2	таким образом	21	22
3	с тем	11	18
4	вместе с	2	15
5	в этом	13	15
6	точки зрения	17	13
7	как бы	6	12
8	в том	37	11
9	может быть	18	10
10	не только	12	10
11	и с	4	10
12	что в	20	9
13	но и	10	9
14	так как	12	9
15	с другой	3	8
16	главным образом	3	8
17	но не	2	8
18	в общем	3	8
19	и не	10	8
20	и у	2	8
21	как на	5	8
22	том что	21	7
23	из них	4	7
24	к нему	2	7
25	то что	21	7
26	а с	2	7
27	потому что	21	7
28	но в	3	7
29	в конце	3	6
30	представление о	3	6
31	к тому	7	6
32	того же	2	6
33	несмотря на	4	6
34	всяком случае	2	6
35	что и	17	6
36	все же	4	6
37	так и	3	6
38	все это	5	6
39	в отношении	3	6
40	все эти	7	6
41	с точки	10	6
42	во всяком	2	6
43	в себе	2	6
44	мы должны	3	6
45	о том	6	6
46	образом в	3	5
47	и к	3	5
48	отношение к	2	5
49	до сих	5	5
50	в его	2	5
51	никогда не	9	5
52	сих пор	5	5
53	так же	18	5
54	а не	7	5
55	того чтобы	14	5
56	для того	13	5
57	не имеет	4	5
58	и для	4	5
59	должен был	2	4
60	в этих	2	4
61	и от	2	4
62	что все	9	4
63	что он	13	4
64	в нем	4	4
65	в смысле	3	4
66	из которых	2	4
67	в самом	12	4
68	целый ряд	6	4
69	не может	17	4
70	и только	2	4
71	а в	4	4
72	то же	13	4
73	что оно	2	4
74	и что	22	4
75	на этот	2	4
76	и по	4	4
77	с другими	2	4
78	в которых	3	4
79	он не	6	4
80	в то	5	4
81	только в	7	4
82	то есть	21	4
83	в этой	6	4
84	далеко не	5	4
85	не менее	8	3
86	по учению	2	3
87	же как	4	3
88	что это	8	3
89	если бы	6	3
90	из которого	4	3
91	хотя бы	3	3
92	точно так	3	3
93	ясно что	7	3
94	так что	3	3
95	и как	7	3
96	из всех	2	3
97	и при	2	3
98	к ним	2	3
99	не вполне	2	3
100	если в	2	3
101	тем не	4	3
102	когда он	10	3
103	при этом	13	3
104	того что	8	3
105	и даже	5	3
106	в которой	2	3
107	и те	4	3
108	у них	2	3
109	в таком	2	3
110	с этой	4	3
111	и таким	2	3
112	конце концов	3	3
113	в других	2	3
114	в одном	2	3
115	есть как	2	2
116	не могут	3	2
117	с его	2	2
118	он в	3	2
119	состоит в	3	2
120	к которым	3	2
121	из себя	2	2
122	при таком	4	2
123	в них	2	2
124	сравнению с	2	2
125	но когда	2	2
126	не как	3	2
127	тогда когда	3	2
128	на все	5	2
129	утверждать что	4	2
130	в свою	3	2
131	на то	11	2
132	и здесь	2	2
133	его от	2	2
134	сознании и	2	2
135	по существу	3	2
136	то ни	2	2
137	что именно	3	2
138	по своему	3	2
139	том виде	3	2
140	все что	2	2
141	же время	2	2
142	и другой	3	2
143	ли это	2	2
144	тот же	6	2
145	еще не	2	2
146	они в	2	2
147	и из	6	2
148	вслед за	5	2
149	вплоть до	2	2
150	с того	2	2
151	один из	3	2
152	бы то	2	2
153	не к	3	2
154	жизни и	4	2
155	то или	2	2
156	во всех	3	2
157	в процессе	2	2
158	заключает в	2	2
159	отличается от	2	2
160	для этого	3	2
161	ни у	2	2
162	не было	2	2
163	этом отношении	5	2
164	у всех	2	2
165	те же	6	2
166	мы имеем	4	2
167	этой точки	2	2
168	и сейчас	3	2
169	в самой	2	2
170	самых древних	2	2
171	и на	5	2
172	в русском	2	2
173	сказать что	7	2
174	не в	8	2
175	мы можем	3	2
176	тем и	2	2
177	по сравнению	2	2
178	же самое	6	2
179	и все	4	2
180	и это	4	2
181	которые в	4	2
182	из этого	4	2
183	относится к	3	2
184	не потому	2	2
185	к которому	2	2
186	между тем	4	2
187	в виду	3	2
