N	2gram	Berdyaev_M_2	Problemy
1	и не	18	31
2	и в	46	29
3	в его	5	24
4	может быть	21	24
5	а не	13	22
6	в этом	20	22
7	т е	4	21
8	как бы	8	19
9	в нем	22	19
10	точки зрения	2	19
11	для него	18	18
12	у достоевского	34	16
13	не только	18	15
14	то что	5	15
15	но и	15	14
16	и его	5	14
17	то же	5	14
18	уже не	4	13
19	достоевского не	3	12
20	как и	13	12
21	достоевского в	2	12
22	не может	15	12
23	в самом	5	10
24	из подполья	2	10
25	только в	3	10
26	с его	4	9
27	это не	5	9
28	если бы	3	9
29	в каждом	3	8
30	в своем	8	8
31	до конца	4	8
32	по себе	2	8
33	что он	7	8
34	что в	4	8
35	отношению к	2	8
36	в своей	5	8
37	по отношению	2	8
38	потому что	12	8
39	в том	3	8
40	прежде всего	12	7
41	том что	4	7
42	не в	9	7
43	лишь как	3	7
44	она не	8	7
45	так и	4	7
46	достоевского и	2	7
47	а в	2	7
48	и на	3	7
49	в себе	10	7
50	но в	10	7
51	в конце	5	6
52	достоевский в	3	6
53	к нему	2	6
54	самого достоевского	3	6
55	что она	5	6
56	как в	7	6
57	в мире	7	6
58	менее всего	3	6
59	так же	6	6
60	его в	3	6
61	и потому	7	6
62	так как	8	6
63	сознания и	2	5
64	же что	2	5
65	творчество достоевского	3	5
66	это и	3	5
67	в сущности	2	5
68	у него	22	5
69	он не	10	5
70	той же	3	5
71	в творчестве	3	5
72	мир и	2	5
73	между тем	2	5
74	для достоевского	8	5
75	творчестве достоевского	3	5
76	и это	5	5
77	с ним	3	5
78	ничего не	2	5
79	были бы	2	4
80	превращается в	2	4
81	личности в	2	4
82	что было	3	4
83	бы и	5	4
84	что и	4	4
85	ивана карамазова	7	4
86	но это	8	4
87	и с	3	4
88	и самого	3	4
89	от того	3	4
90	и для	7	4
91	не было	11	4
92	достоевского к	5	4
93	тем что	3	4
94	но эта	2	4
95	они не	4	4
96	другого человека	2	4
97	должно быть	2	4
98	в основе	2	4
99	в этой	7	4
100	человека в	14	4
101	что же	2	4
102	уже в	2	3
103	я не	5	3
104	он сам	6	3
105	в человеке	2	3
106	никогда не	18	3
107	в них	3	3
108	ни в	3	3
109	достоевский не	5	3
110	достоевского нет	2	3
111	все что	4	3
112	герои достоевского	2	3
113	себе и	2	3
114	на почве	3	3
115	оно не	2	3
116	в духе	5	3
117	тому что	4	3
118	по достоевскому	2	3
119	друг друга	12	3
120	тому как	2	3
121	и здесь	6	3
122	в своих	3	3
123	сказать что	3	3
124	но с	2	3
125	он в	3	3
126	достоевский был	9	3
127	подобно тому	2	3
128	как к	2	3
129	не знает	9	3
130	как будто	2	3
131	отношении к	3	3
132	и самое	2	3
133	и этим	2	3
134	бы в	2	3
135	отношения к	2	3
136	жизни не	2	2
137	не овладевает	2	2
138	а лишь	2	2
139	все время	2	2
140	связи с	2	2
141	себя и	3	2
142	человек и	2	2
143	хотя бы	7	2
144	и во	3	2
145	и от	3	2
146	те же	5	2
147	в жизни	4	2
148	человеческого духа	5	2
149	вопрос о	6	2
150	и нет	3	2
151	и к	7	2
152	не есть	13	2
153	жизни и	6	2
154	так что	2	2
155	мы видим	2	2
156	в обычном	2	2
157	чем в	2	2
158	лишь один	2	2
159	подполья и	2	2
160	есть и	3	2
161	и человек	3	2
162	тот же	2	2
163	и перед	3	2
164	со своим	2	2
165	жизни а	2	2
166	не о	2	2
167	до сих	3	2
168	один из	5	2
169	на его	2	2
170	отношение к	8	2
171	ни одного	2	2
172	сих пор	3	2
173	момент его	2	2
174	то перед	2	2
175	в отношении	5	2
176	и что	2	2
177	к себе	2	2
178	него нет	5	2
179	к другому	3	2
180	интересует достоевского	4	2
181	можно было	2	2
182	достоевским и	2	2
183	то он	2	2
184	замыкается в	2	2
185	в ней	11	2
186	правда в	2	2
187	но он	11	2
188	самим собою	2	2
189	последний день	2	2
190	великого инквизитора	4	2
191	и есть	8	2
192	его на	4	2
193	в россии	3	2
194	в которой	2	2
195	же и	2	2
196	нет ни	2	2
197	е в	2	2
198	по преимуществу	5	2
