N	2gram	Voloshinov_1	SlovoVZh
1	не может	8	16
2	точки зрения	7	14
3	может быть	8	14
4	и его	12	13
5	как бы	6	13
6	таким образом	6	12
7	и в	13	12
8	отношению к	3	11
9	по отношению	3	11
10	и не	8	10
11	если бы	2	9
12	так как	3	9
13	прежде всего	9	8
14	художественного произведения	5	7
15	в нем	2	6
16	в процессе	5	6
17	при этом	2	6
18	с помощью	2	6
19	в интонации	2	6
20	в том	2	6
21	только в	6	6
22	слова и	2	6
23	в ней	2	6
24	к предмету	2	5
25	и др	2	5
26	то что	6	5
27	никогда не	3	5
28	а не	2	5
29	то же	4	5
30	хотя бы	5	5
31	как и	3	5
32	том что	2	5
33	как в	2	5
34	героя и	2	5
35	и следовательно	2	5
36	но в	4	5
37	и к	2	4
38	все же	5	4
39	так и	3	4
40	с другой	2	4
41	социального общения	6	4
42	зависимости от	2	4
43	не в	3	4
44	в этом	2	4
45	материала и	3	4
46	в самом	2	4
47	за пределы	3	4
48	и является	2	4
49	не только	6	4
50	в них	2	3
51	и уже	3	3
52	не менее	2	3
53	в своей	4	3
54	художественное произведение	2	3
55	все это	4	3
56	социальной группы	4	3
57	жизненной речи	2	3
58	все эти	2	3
59	слово в	3	3
60	но и	3	3
61	и пр	7	3
62	и наконец	5	3
63	да и	3	3
64	поэтического произведения	3	3
65	так же	2	3
66	самом деле	3	3
67	мы не	4	3
68	жизненного высказывания	2	3
69	нуждается в	2	3
70	и ее	2	3
71	в себе	3	3
72	для него	2	3
73	в пределах	3	3
74	в поэзии	5	3
75	и для	3	3
76	и слушателя	2	3
77	но для	3	3
78	между тем	2	3
79	истории литературы	2	2
80	уже в	2	2
81	с этой	2	2
82	но мы	4	2
83	от всех	2	2
84	что в	3	2
85	данном случае	2	2
86	общего с	3	2
87	в зависимости	2	2
88	в отношении	2	2
89	точку зрения	3	2
90	нет ничего	2	2
91	другой стороны	2	2
92	разрыв между	2	2
93	и все	3	2
94	с одной	2	2
95	те же	2	2
96	в словесном	2	2
97	конечно в	2	2
98	в материале	5	2
99	с точки	5	2
100	социальная оценка	5	2
101	более того	2	2
102	в данном	2	2
103	и то	3	2
104	социологический метод	2	2
105	мы можем	4	2
106	могут быть	2	2
107	одно и	3	2
108	одной стороны	2	2
109	может стать	2	2
110	общения и	2	2
111	имеет место	2	2
112	там где	2	2
113	в чем	2	2
114	в его	7	2
