N	2gram	Propp_Morf_1	EvropaiE
1	и в	13	37
2	в пределах	3	25
3	точки зрения	2	23
4	что в	8	21
5	не только	4	18
6	с точки	2	17
7	в то	3	16
8	хотя бы	4	15
9	то же	7	15
10	в качестве	5	14
11	но и	4	14
12	и не	12	14
13	но в	2	14
14	в этом	14	12
15	в том	6	11
16	так и	6	10
17	прежде всего	9	9
18	не может	14	9
19	т е	21	9
20	только в	2	9
21	так же	3	9
22	к тому	4	8
23	было бы	3	8
24	между тем	5	8
25	как и	3	7
26	по своему	2	7
27	того что	3	7
28	а также	4	7
29	с другой	8	7
30	также и	4	7
31	так как	16	7
32	вовсе не	4	6
33	том что	4	6
34	может быть	52	6
35	вслед за	5	6
36	для того	2	6
37	на то	2	6
38	как бы	3	6
39	то что	8	6
40	во всех	4	6
41	того чтобы	3	6
42	в частности	2	5
43	не в	3	5
44	но не	4	5
45	но если	7	5
46	со стороны	3	5
47	как мы	6	5
48	и по	2	5
49	в виде	2	5
50	в россии	2	5
51	ни было	2	4
52	независимо от	3	4
53	то ни	3	4
54	вопрос о	7	4
55	можно сказать	2	4
56	бы то	3	4
57	несмотря на	4	4
58	то в	3	4
59	для нас	2	4
60	не на	2	4
61	мы не	8	4
62	не имеет	2	4
63	сказать что	2	4
64	в каком	2	4
65	как это	3	4
66	и к	4	3
67	с тем	2	3
68	это так	2	3
69	представляет собой	17	3
70	мы можем	2	3
71	из них	3	3
72	всяком случае	2	3
73	не является	3	3
74	и тем	2	3
75	что и	7	3
76	как в	3	3
77	она в	2	3
78	и для	2	3
79	можно было	2	3
80	в которых	2	3
81	в результате	7	3
82	потому что	3	3
83	во всяком	2	3
84	тем что	4	3
85	о том	2	3
86	там где	5	3
87	большинстве случаев	3	3
88	не могут	4	2
89	относятся к	2	2
90	а не	11	2
91	в этих	13	2
92	в какой	3	2
93	во втором	3	2
94	с этим	11	2
95	в большинстве	3	2
96	к нему	3	2
97	главным образом	4	2
98	утверждать что	3	2
99	же в	2	2
100	как же	2	2
101	и как	5	2
102	но как	2	2
103	вопрос не	2	2
104	или по	2	2
105	она не	2	2
106	он не	3	2
107	если в	5	2
108	при помощи	9	2
109	в некоторых	3	2
110	наряду с	5	2
111	целый ряд	3	2
112	что же	2	2
113	и таким	2	2
114	а в	7	2
115	таким образом	21	2
116	если бы	2	2
117	случаях когда	2	2
118	и что	2	2
119	другой стороны	4	2
120	в других	3	2
121	как их	2	2
122	мы видим	13	2
123	или в	4	2
124	этот вопрос	2	2
125	что эти	2	2
126	хотя и	3	2
127	могут быть	16	2
128	в этой	2	2
129	как будто	2	2
130	мы должны	3	2
131	далеко не	5	2
132	между собой	4	2
133	заметить что	8	2
134	например с	2	2
