N	2gram	Losev_Dial_3	Analitik
1	может быть	13	29
2	в том	5	27
3	не может	19	22
4	и не	27	21
5	в частности	2	19
6	и в	24	18
7	а не	26	17
8	но и	9	17
9	отнюдь не	10	15
10	не только	23	15
11	не в	3	14
12	как и	7	13
13	в его	2	13
14	в этом	8	13
15	том что	8	12
16	при этом	2	12
17	в себе	2	11
18	но не	2	10
19	то же	6	9
20	а в	2	9
21	в то	5	9
22	есть не	9	8
23	не есть	54	8
24	но в	2	8
25	к тому	4	7
26	особого рода	3	7
27	тем самым	3	7
28	это не	4	6
29	прежде всего	8	6
30	или иной	4	6
31	же время	3	6
32	в самом	7	6
33	в сущности	10	6
34	себя в	2	6
35	той или	2	6
36	то что	14	6
37	в основе	3	6
38	точки зрения	25	6
39	только в	5	6
40	я и	2	6
41	и как	8	5
42	что в	7	5
43	как бы	3	5
44	в их	2	5
45	и его	5	5
46	и на	3	5
47	что иное	6	5
48	о том	6	5
49	иное как	6	5
50	того что	12	4
51	могут быть	2	4
52	себя и	2	4
53	с другой	4	4
54	по себе	20	4
55	не что	6	4
56	ни в	9	4
57	тому же	2	4
58	субъекта и	4	4
59	для того	3	4
60	все же	3	4
61	так и	5	4
62	собственно говоря	4	4
63	именно в	2	4
64	сознания в	2	4
65	из того	2	4
66	уже не	5	4
67	из которых	3	4
68	с точки	14	4
69	не могут	4	3
70	с его	2	3
71	однако не	2	3
72	и есть	16	3
73	хотя бы	4	3
74	и все	6	3
75	личности в	2	3
76	или иного	2	3
77	в нем	3	3
78	и к	5	3
79	что он	13	3
80	и т	24	3
81	в силу	3	3
82	еще не	2	3
83	одной стороны	3	3
84	что не	5	3
85	никто не	2	3
86	он не	5	3
87	о нем	4	3
88	что и	6	3
89	вопрос об	3	3
90	не будет	3	3
91	бы то	2	3
92	а именно	2	3
93	для науки	2	3
94	таким образом	13	3
95	с одной	3	3
96	от себя	4	3
97	того или	3	3
98	к нему	3	3
99	в таком	14	3
100	тому как	4	3
101	мере в	3	3
102	подобно тому	4	3
103	того и	2	3
104	что мы	8	3
105	разного рода	2	3
106	бы быть	2	3
107	быть не	2	3
108	если бы	6	3
109	таком случае	10	3
110	быть может	3	2
111	и то	4	2
112	только не	10	2
113	никогда не	7	2
114	все эти	3	2
115	для этого	2	2
116	но о	2	2
117	из этих	2	2
118	бытия и	2	2
119	тогда когда	5	2
120	не просто	18	2
121	была бы	3	2
122	вовсе не	13	2
123	вопрос о	5	2
124	что именно	3	2
125	в коем	3	2
126	тех или	2	2
127	то в	2	2
128	и потому	2	2
129	должно быть	3	2
130	для него	4	2
131	от своего	2	2
132	или не	5	2
133	случае не	3	2
134	было бы	5	2
135	несмотря на	2	2
136	за пределы	3	2
137	и о	3	2
138	она есть	10	2
139	понимать как	3	2
140	не о	2	2
141	и является	2	2
142	нет и	4	2
143	сами по	3	2
144	субъект и	2	2
145	из них	3	2
146	не говоря	2	2
147	со стороны	2	2
148	что же	11	2
149	и тогда	5	2
150	другой стороны	2	2
151	отличается от	8	2
152	на этом	2	2
153	той же	3	2
154	самом деле	6	2
155	и по	2	2
156	коем случае	3	2
157	как мы	2	2
158	на себя	3	2
159	ничто не	2	2
160	также и	2	2
161	тем более	3	2
162	для себя	2	2
163	в данном	2	2
164	личность есть	3	2
165	при помощи	3	2
166	в первом	2	2
167	нет ничего	9	2
168	так как	6	2
169	думать что	2	2
170	потому что	7	2
171	и с	6	2
