N	2gram	Kanaev_Sov_1	Vvedenie
1	и в	7	32
2	в том	4	31
3	в этом	7	30
4	может быть	12	26
5	не только	4	22
6	таким образом	11	19
7	так как	4	15
8	не может	17	14
9	в самом	2	13
10	в нем	3	13
11	и не	6	12
12	в его	2	12
13	как мы	2	11
14	что такое	2	11
15	ясно что	3	11
16	и именно	2	11
17	что в	2	10
18	но в	3	9
19	то же	3	9
20	не менее	2	8
21	это не	4	8
22	тем не	2	8
23	не в	3	8
24	прежде всего	5	7
25	вопрос о	4	7
26	точки зрения	12	7
27	было бы	3	7
28	все же	3	7
29	самом деле	2	7
30	не могут	2	6
31	из этих	2	6
32	все это	3	6
33	и даже	2	6
34	как он	3	6
35	как и	6	6
36	уже в	3	5
37	на этот	2	5
38	как бы	4	5
39	в целом	4	5
40	вместе с	4	5
41	а не	3	5
42	могут быть	2	5
43	в каждом	8	4
44	времени и	2	4
45	научного исследования	2	4
46	всяком случае	2	4
47	с одной	2	4
48	и что	2	4
49	в и	2	4
50	а в	4	4
51	в первом	3	4
52	еще не	3	4
53	в виде	2	4
54	уже не	2	4
55	той же	2	4
56	во всяком	2	4
57	в себе	3	4
58	и т.д	3	4
59	что это	2	3
60	и есть	2	3
61	так называемых	3	3
62	в конце	3	3
63	но все	2	3
64	в этой	3	3
65	на этом	2	3
66	при этом	3	3
67	такого рода	2	3
68	мы видели	4	3
69	на этой	3	3
70	из них	4	3
71	что она	3	3
72	все эти	5	3
73	в результате	6	3
74	говорить о	2	3
75	и к	3	3
76	в одном	3	3
77	что же	5	3
78	в области	3	3
79	мы называем	3	2
80	или иной	2	2
81	в дальнейшем	4	2
82	из двух	3	2
83	значение в	2	2
84	с помощью	4	2
85	только так	2	2
86	с этим	2	2
87	же самое	2	2
88	когда мы	3	2
89	на котором	2	2
90	у нас	3	2
91	мы должны	4	2
92	жизни и	4	2
93	ни одна	2	2
94	быть и	2	2
95	из которых	2	2
96	с точки	5	2
97	мы не	9	2
98	мы можем	6	2
99	если же	2	2
100	одна из	3	2
101	ничего не	6	2
