N	3gram	Bakhtin_Pr_1	KulturaY
1	и т п	13	24
2	в том что	3	10
3	можно было бы	3	9
4	с точки зрения	6	8
5	для того чтобы	2	8
6	с другой стороны	4	7
7	в самом деле	3	7
8	в этом смысле	3	5
9	тем не менее	3	5
10	не только в	2	4
11	не может быть	11	4
12	в этом отношении	2	3
13	в лучшем случае	2	3
14	в то же	3	3
15	то же время	3	3
16	можно сказать что	2	2
17	в отличие от	5	2
18	может быть только	3	2
19	говорить и о	2	2
20	то или иное	2	2
21	в конечном счете	4	2
22	на самом деле	3	2
23	того или иного	2	2
