N	2gram	Medvedev_U_1	NovoeSre
1	а не	10	17
2	не может	7	16
3	и в	14	16
4	и не	8	11
5	в том	2	8
6	как и	3	7
7	в этом	7	7
8	может быть	6	7
9	с его	2	6
10	не в	2	6
11	но это	2	6
12	все это	5	5
13	не только	10	5
14	то что	7	4
15	перестает быть	5	4
16	это не	3	4
17	и для	2	4
18	прежде всего	8	4
19	но и	4	3
20	не есть	2	3
21	должна быть	2	3
22	в своей	3	3
23	с другой	4	3
24	что такое	4	3
25	конечно не	4	3
26	в россии	4	3
27	это было	2	3
28	что все	2	2
29	все они	2	2
30	что она	2	2
31	для этого	3	2
32	и формы	3	2
33	другой стороны	3	2
34	формы и	2	2
35	этом смысле	2	2
36	хотя бы	5	2
37	но не	2	2
38	вот почему	7	2
39	по существу	2	2
40	мы не	2	2
41	том что	2	2
42	и с	2	2
43	могут быть	2	2
44	в себе	2	2
45	в то	3	2
46	но в	3	2
