N	2gram	Vinokur_St_2	TeoriaLi
1	не только	19	18
2	в качестве	5	17
3	тогда как	2	16
4	и не	9	16
5	в частности	4	13
6	и в	29	13
7	может быть	2	12
8	так и	9	12
9	при этом	2	11
10	в этом	21	11
11	в том	27	11
12	но не	3	10
13	а не	5	10
14	и его	6	10
15	в его	13	9
16	то же	2	9
17	что в	19	8
18	своего рода	5	8
19	такого рода	2	8
20	но и	19	8
21	в себе	2	7
22	том что	27	7
23	в отличие	2	7
24	в данном	2	7
25	точки зрения	5	7
26	в то	2	7
27	только в	2	7
28	как это	2	7
29	отличие от	2	7
30	с его	2	6
31	как бы	5	6
32	в русской	5	6
33	но в	8	6
34	в своем	9	5
35	а также	2	5
36	в ее	2	5
37	как и	2	5
38	не в	4	5
39	в самом	7	5
40	в нем	4	5
41	как в	3	5
42	он не	9	5
43	с другой	4	5
44	между тем	5	5
45	не менее	3	4
46	не столько	7	4
47	ни в	3	4
48	более или	2	4
49	в своей	7	4
50	то что	11	4
51	или менее	2	4
52	в их	3	4
53	не может	2	4
54	по пути	2	4
55	сказать что	2	4
56	хотя и	4	4
57	но он	3	4
58	и др	2	3
59	никогда не	3	3
60	в этих	3	3
61	в отношении	2	3
62	прежде всего	5	3
63	и к	4	3
64	тем не	2	3
65	по своему	2	3
66	для него	4	3
67	того что	5	3
68	и сам	2	3
69	например в	3	3
70	и потому	2	3
71	на почве	2	3
72	другой стороны	3	3
73	как раз	8	3
74	таким образом	10	3
75	а с	3	3
76	именно в	4	3
77	в другом	4	3
78	и что	6	3
79	и по	3	3
80	потому что	9	3
81	на меня	2	3
82	в этой	2	3
83	отношении к	3	3
84	его в	2	3
85	все эти	2	3
86	я не	7	2
87	только не	2	2
88	о чем	5	2
89	если бы	2	2
90	была бы	5	2
91	в конце	2	2
92	того же	2	2
93	вовсе не	6	2
94	по себе	3	2
95	что он	13	2
96	к тому	10	2
97	об этом	6	2
98	и как	2	2
99	что они	2	2
100	одной из	3	2
101	в виду	7	2
102	даже в	2	2
103	не могло	3	2
104	сочетании с	2	2
105	как говорит	2	2
106	тем в	2	2
107	вместе с	7	2
108	дело не	2	2
109	со стороны	2	2
110	могло быть	3	2
111	не на	2	2
112	в романе	4	2
113	в году	3	2
114	в той	5	2
115	и о	4	2
116	с точки	2	2
117	и даже	3	2
118	так же	3	2
119	в сочетании	2	2
120	на себя	3	2
121	и здесь	3	2
122	о том	17	2
123	и это	2	2
124	в которой	11	2
125	в области	2	2
126	это было	2	2
