N	2gram	Bakhtin_Pr_1	VrazhdaK
1	не только	9	9
2	в этом	15	8
3	и что	2	8
4	и в	38	8
5	но и	9	7
6	что в	7	7
7	то что	8	7
8	и все	3	7
9	в котором	2	6
10	в нем	15	6
11	все же	6	6
12	и даже	3	6
13	в романе	4	6
14	как и	7	6
15	в начале	2	6
16	но в	4	6
17	и с	17	6
18	то же	5	5
19	не было	2	5
20	и не	42	5
21	между тем	7	5
22	в то	4	5
23	же время	3	5
24	в россии	2	5
25	как бы	22	4
26	все это	3	4
27	это не	5	4
28	что он	2	4
29	с ним	5	4
30	в своих	2	4
31	может быть	26	4
32	при этом	5	4
33	в истории	2	4
34	несмотря на	3	4
35	о том	4	4
36	в ней	4	4
37	в виду	4	4
38	я не	2	3
39	с его	2	3
40	связи с	2	3
41	в своем	5	3
42	и во	2	3
43	в связи	2	3
44	к этому	2	3
45	человека в	2	3
46	на то	2	3
47	и у	2	3
48	в том	8	3
49	и его	16	3
50	том что	3	3
51	и как	8	3
52	тем что	2	3
53	в его	43	3
54	далеко не	5	3
55	его в	9	3
56	и о	5	3
57	в чем	2	3
58	он не	3	3
59	место в	8	2
60	в своей	7	2
61	и это	3	2
62	не менее	4	2
63	никогда не	5	2
64	отнюдь не	19	2
65	в них	5	2
66	столь же	2	2
67	не может	27	2
68	а в	6	2
69	отношения к	6	2
70	таким образом	10	2
71	рядом с	5	2
72	но это	3	2
73	к себе	2	2
74	на первый	2	2
75	и он	2	2
76	с точки	6	2
77	на основе	6	2
78	этот момент	2	2
79	но как	2	2
80	точки зрения	8	2
81	в свою	2	2
82	и ее	2	2
83	в себе	4	2
84	отношение к	10	2
85	в нашей	2	2
86	еще не	7	2
87	в мире	3	2
88	одна из	2	2
89	том же	2	2
90	в него	2	2
