N	2gram	Vygotskiy__7	formyVre
1	и в	26	46
2	в этом	29	22
3	прежде всего	7	14
4	вовсе не	2	13
5	и его	12	12
6	только в	8	11
7	не только	24	11
8	во всех	6	11
9	во время	2	10
10	в том	18	10
11	как бы	6	10
12	точки зрения	28	10
13	но в	4	10
14	не в	4	9
15	мы уже	3	9
16	вместе с	12	9
17	но и	11	9
18	и не	18	9
19	и для	5	9
20	связи с	4	8
21	как и	15	8
22	в его	4	8
23	то же	8	8
24	того чтобы	19	8
25	для того	18	8
26	с точки	21	8
27	потому что	16	8
28	в основном	3	8
29	может быть	7	7
30	то что	24	7
31	так и	3	7
32	никогда не	4	6
33	и во	4	6
34	как мы	14	6
35	еще не	4	6
36	его в	2	6
37	все же	6	6
38	все это	3	6
39	и наконец	4	6
40	в основе	3	6
41	так как	14	6
42	и с	5	6
43	с этим	2	5
44	в то	3	5
45	но не	3	5
46	он не	3	5
47	в нем	2	5
48	что в	12	5
49	все эти	6	5
50	в смысле	6	5
51	должно быть	2	5
52	уже в	2	4
53	с этой	5	4
54	из этих	3	4
55	с ним	3	4
56	значение и	2	4
57	том что	17	4
58	так что	4	4
59	что они	10	4
60	с другом	2	4
61	друг с	2	4
62	том же	2	4
63	в котором	4	4
64	и их	5	4
65	как в	4	4
66	отношения к	2	4
67	а не	6	4
68	и он	2	4
69	также и	2	4
70	в себе	9	4
71	о том	4	4
72	прежде чем	2	3
73	о чем	4	3
74	себя и	2	3
75	не является	3	3
76	к этому	2	3
77	что было	2	3
78	с помощью	13	3
79	к тому	7	3
80	что он	8	3
81	а затем	2	3
82	в качестве	5	3
83	в большинстве	2	3
84	для него	3	3
85	имеет место	4	3
86	что на	2	3
87	в этот	3	3
88	нет и	3	3
89	что и	3	3
90	слова и	10	3
91	ее в	8	3
92	отношение к	2	3
93	всего в	2	3
94	целый ряд	4	3
95	за счет	2	3
96	таким образом	23	3
97	в их	2	3
98	того что	14	3
99	и по	3	3
100	а в	2	3
101	для других	15	3
102	в которых	2	3
103	тем что	9	3
104	же самое	5	3
105	в этих	2	3
106	большинстве случаев	2	3
107	в виду	5	3
108	и весь	2	2
109	по своему	9	2
110	и есть	2	2
111	друг другу	3	2
112	друг от	2	2
113	на котором	3	2
114	с другой	4	2
115	и других	2	2
116	это не	3	2
117	в одной	3	2
118	вещи и	2	2
119	что все	2	2
120	представление о	7	2
121	по себе	3	2
122	можно сказать	5	2
123	но эта	2	2
124	о его	3	2
125	в отношении	2	2
126	в самой	3	2
127	не мог	2	2
128	именно в	6	2
129	у нас	2	2
130	мы видим	3	2
131	в этой	3	2
132	с тем	5	2
133	больше и	2	2
134	все что	6	2
135	между ними	3	2
136	до конца	5	2
137	она не	5	2
138	было бы	6	2
139	со всеми	2	2
140	и к	7	2
141	от друга	2	2
142	наряду с	2	2
143	в сущности	9	2
144	и о	3	2
145	словом и	10	2
146	наконец в	2	2
147	и потому	3	2
148	если в	4	2
149	один из	2	2
150	сих пор	3	2
151	мы видели	3	2
152	этом случае	14	2
153	и до	2	2
154	находится в	2	2
155	не может	11	2
156	и только	4	2
157	этом отношении	3	2
158	с одной	5	2
159	связи между	5	2
160	в той	4	2
161	лишь в	2	2
162	тем же	5	2
163	так же	14	2
164	как на	6	2
165	почти всегда	2	2
166	в данном	5	2
167	но это	3	2
168	то в	2	2
169	и от	4	2
170	могут быть	2	2
171	но он	2	2
172	ту же	2	2
173	не могла	2	2
174	в конце	4	2
175	как это	5	2
176	во всяком	2	2
177	до сих	3	2
