N	2gram	Nazirov_Vr_1	DiskursI
1	не только	9	28
2	в том	3	23
3	том что	3	19
4	тогда как	2	19
5	может быть	4	17
6	и в	8	16
7	как и	6	16
8	в этом	8	15
9	еще не	2	14
10	но и	7	14
11	при этом	4	13
12	и т.п	2	12
13	и не	5	11
14	далеко не	3	10
15	в нем	6	9
16	не может	2	9
17	а также	2	8
18	отнюдь не	2	8
19	о том	4	8
20	но в	6	8
21	в его	3	7
22	то же	5	7
23	не было	5	7
24	в себе	2	7
25	в своем	3	6
26	и как	3	6
27	как бы	4	5
28	в котором	6	5
29	в своей	2	5
30	то что	7	5
31	а с	2	5
32	а в	2	5
33	с его	3	4
34	что в	7	4
35	в них	2	4
36	что он	4	4
37	уже не	2	4
38	для него	2	4
39	в истории	4	4
40	же время	5	4
41	связи с	3	4
42	и о	3	4
43	отношение к	2	4
44	между тем	5	4
45	столь же	2	3
46	это не	4	3
47	в свою	2	3
48	к ним	2	3
49	все же	6	3
50	из них	2	3
51	таким образом	2	3
52	и даже	6	3
53	в своих	4	3
54	тем что	3	3
55	точки зрения	2	3
56	в то	5	3
57	не менее	2	2
58	никогда не	2	2
59	к себе	2	2
60	и во	3	2
61	и все	7	2
62	это в	2	2
63	к этому	3	2
64	в году	18	2
65	об этом	5	2
66	в начале	6	2
67	одним из	3	2
68	о нем	6	2
69	целый ряд	4	2
70	отношения к	2	2
71	уже в	4	2
72	человека в	3	2
73	и что	8	2
74	х годов	4	2
75	и он	2	2
76	и его	3	2
77	в момент	2	2
78	и ее	2	2
79	но как	2	2
80	в этой	2	2
81	о романе	2	2
82	в виду	4	2
83	о чем	2	2
