N	3gram	Savitsky_E_1	Myshleni
1	в том что	6	17
2	заключается в том	2	7
3	для того чтобы	5	7
4	так же как	5	6
5	с одной стороны	8	5
6	можно было бы	3	5
7	друг с другом	3	5
8	же как и	3	4
9	во всяком случае	3	4
10	по сравнению с	2	3
11	на то что	2	3
12	с другой стороны	2	3
13	как мы видели	2	3
14	в этом отношении	3	3
15	в известном смысле	3	2
16	тому или иному	2	2
17	той или иной	4	2
18	и в этом	4	2
19	так и в	2	2
20	в свою очередь	2	2
21	того или иного	4	2
22	само по себе	4	2
23	только в том	2	2
24	заключает в себе	3	2
25	с этой точки	5	2
26	то что в	2	2
27	этой точки зрения	5	2
28	не может быть	2	2
29	в этом смысле	3	2
