N	2gram	Vinokur_St_2	Psycholo
1	то что	11	37
2	и в	29	30
3	в том	27	27
4	что в	19	24
5	и что	6	23
6	потому что	9	23
7	том что	27	21
8	для того	7	20
9	таким образом	10	20
10	того чтобы	6	20
11	как бы	5	19
12	что он	13	17
13	на то	2	17
14	не только	19	16
15	в трагедии	17	15
16	в самом	7	14
17	в этом	21	14
18	так же	3	13
19	как раз	8	13
20	вместе с	7	12
21	если бы	2	11
22	может быть	2	11
23	как на	9	11
24	о том	17	10
25	никогда не	3	9
26	с другой	4	9
27	не может	2	9
28	сказать что	2	9
29	так как	2	9
30	с тем	7	8
31	что это	3	8
32	тому что	7	8
33	к тому	10	8
34	не в	4	8
35	а не	5	8
36	при этом	2	8
37	того что	5	8
38	самом деле	3	8
39	и это	2	8
40	по себе	3	7
41	в нем	4	7
42	и как	2	7
43	но не	3	7
44	все же	6	7
45	и т	9	7
46	то же	2	7
47	действующих лиц	4	7
48	точки зрения	5	7
49	как это	2	7
50	в своем	9	6
51	именно в	4	6
52	как и	2	6
53	что с	2	6
54	совершенно не	2	6
55	но и	19	6
56	и не	9	6
57	факт что	6	6
58	и его	6	6
59	и здесь	3	6
60	никак не	2	6
61	тем что	3	6
62	у шекспира	4	6
63	с и	2	5
64	только не	2	5
65	по этому	2	5
66	что именно	2	5
67	несмотря на	2	5
68	и потому	2	5
69	в этой	2	5
70	что они	2	5
71	до сих	6	5
72	было бы	5	5
73	искусства и	2	5
74	сих пор	5	5
75	другой стороны	3	5
76	а с	3	5
77	во внимание	2	5
78	в себе	2	5
79	но в	8	5
80	только в	2	5
81	в результате	2	4
82	в частности	4	4
83	этот вопрос	2	4
84	тот факт	4	4
85	прежде всего	5	4
86	говорит о	2	4
87	у нас	3	4
88	и к	4	4
89	в своей	7	4
90	в ней	7	4
91	в его	13	4
92	в них	2	4
93	как говорит	2	4
94	и именно	3	4
95	только что	2	4
96	внимание на	4	4
97	этому поводу	2	4
98	там где	2	4
99	действующие лица	3	4
100	в конце	2	4
101	что эта	3	4
102	должен был	4	4
103	не могли	2	4
104	о чем	5	4
105	в виду	7	4
106	трагедии в	4	3
107	и другие	2	3
108	была бы	5	3
109	что у	4	3
110	хотя бы	3	3
111	к этому	4	3
112	вовсе не	6	3
113	вопрос о	6	3
114	самого начала	3	3
115	что на	3	3
116	меньше всего	3	3
117	об этом	6	3
118	с самого	3	3
119	так что	3	3
120	мне кажется	3	3
121	что трагедия	3	3
122	для него	4	3
123	он не	9	3
124	в ее	2	3
125	что и	2	3
126	на его	2	3
127	ни в	3	3
128	так и	9	3
129	со стороны	2	3
130	как в	3	3
131	и вся	2	3
132	в их	3	3
133	так например	7	3
134	т д	6	3
135	времени и	4	3
136	этом отношении	9	3
137	смысл этого	2	3
138	по поводу	8	3
139	и сейчас	3	3
140	в той	5	3
141	и о	4	3
142	на этот	2	3
143	тем же	2	3
144	по его	3	3
145	но он	3	3
146	и на	6	3
147	в каком	2	3
148	в данном	2	3
149	т п	3	3
150	в другом	4	3
151	в этих	3	3
152	иметь в	3	3
153	в которой	11	3
154	с этой	2	2
155	в отношении	2	2
156	с его	2	2
157	в письме	5	2
158	же как	3	2
159	связи с	4	2
160	не является	3	2
161	давно уже	3	2
162	в одной	2	2
163	с этим	3	2
164	характеров и	2	2
165	в одном	6	2
166	а как	4	2
167	материал для	3	2
168	он был	2	2
169	до конца	3	2
170	нас не	2	2
171	а затем	2	2
172	в романе	4	2
173	по существу	2	2
174	но все	7	2
175	что ему	3	2
176	очевидно что	2	2
177	того же	2	2
178	не дает	2	2
179	обратить внимание	5	2
180	это очень	2	2
181	очень хорошо	2	2
182	в качестве	5	2
183	о которых	2	2
184	еще в	2	2
185	в котором	7	2
186	сами по	2	2
187	с той	2	2
188	из них	3	2
189	ни одного	3	2
190	все это	11	2
191	в отличие	2	2
192	того как	7	2
193	в течение	6	2
194	оба эти	3	2
195	с точки	2	2
196	и даже	3	2
197	и он	3	2
198	принять во	2	2
199	отличие от	2	2
200	трагедии это	2	2
201	ничего не	4	2
202	и с	4	2
203	трагедию в	4	2
204	и самый	2	2
205	как например	2	2
206	или с	2	2
207	в то	2	2
208	как он	2	2
209	все эти	2	2
210	дело в	4	2
211	в полной	2	2
212	только о	2	2
213	на самом	3	2
