N	2gram	Tiupa_Vved_1	Problema
1	то что	6	42
2	то есть	8	33
3	и в	13	32
4	и не	12	31
5	не менее	4	19
6	в этом	21	19
7	тем не	3	18
8	не только	20	17
9	потому что	5	16
10	по себе	2	15
11	а не	15	15
12	в себе	5	15
13	как бы	4	14
14	может быть	18	14
15	но в	6	14
16	и тем	2	13
17	в нем	5	13
18	что мы	2	13
19	как раз	2	13
20	что в	3	12
21	том что	7	12
22	так и	8	12
23	также и	4	11
24	о том	5	11
25	то же	5	10
26	прежде всего	7	10
27	отнюдь не	7	10
28	об этом	4	10
29	но не	5	9
30	в том	10	9
31	но и	19	9
32	по своему	2	9
33	еще не	7	9
34	что же	3	9
35	в данном	13	9
36	данном случае	6	8
37	не может	7	8
38	и на	3	8
39	он и	2	8
40	было бы	4	8
41	в своей	5	8
42	но это	3	8
43	тоже не	2	7
44	никогда не	4	7
45	такого рода	16	7
46	того что	6	7
47	в них	2	7
48	и все	4	7
49	во всех	2	7
50	как мы	3	7
51	тем что	2	7
52	только в	6	7
53	здесь не	2	7
54	при этом	26	6
55	в самом	2	6
56	хотя и	7	6
57	то и	2	6
58	таким образом	4	6
59	это не	6	6
60	говорить о	2	6
61	о чем	2	6
62	не существует	2	6
63	в то	4	6
64	в его	4	6
65	на самом	4	6
66	самом деле	3	6
67	что такое	18	6
68	перед нами	6	5
69	в своем	5	5
70	или иной	3	5
71	можно сказать	4	5
72	для нас	2	5
73	есть в	2	5
74	той или	3	5
75	в котором	8	5
76	в сознании	4	5
77	не является	3	5
78	текста и	3	5
79	все равно	2	5
80	далеко не	4	5
81	не в	6	4
82	мы и	2	4
83	по поводу	2	4
84	один из	3	4
85	не было	2	4
86	а в	6	4
87	их в	2	4
88	как он	2	4
89	если бы	7	4
90	в литературе	2	4
91	никак не	2	4
92	а также	8	4
93	как в	4	4
94	тем самым	5	4
95	и для	3	4
96	мы можем	2	4
97	в этих	3	3
98	с другой	5	3
99	более или	2	3
100	другой стороны	2	3
101	и его	5	3
102	этих случаях	2	3
103	или не	2	3
104	однако и	2	3
105	с ним	3	3
106	сливаются в	2	3
107	в жизни	4	3
108	в случае	2	3
109	как и	11	3
110	к тому	6	3
111	он не	3	3
112	для которого	3	3
113	быть и	2	3
114	или менее	2	3
115	уже не	5	3
116	свидетельствует о	4	3
117	можно было	2	3
118	пока еще	4	3
119	как будто	4	3
120	как оно	2	3
121	это только	2	2
122	для него	3	2
123	например в	2	2
124	не о	2	2
125	не имеет	2	2
126	в результате	3	2
127	и с	2	2
128	действующих лиц	2	2
129	не как	2	2
130	из этих	3	2
131	к его	3	2
132	в первом	2	2
133	как для	2	2
134	мы имеем	5	2
135	том как	3	2
136	тот кто	2	2
137	для них	3	2
138	могут быть	4	2
139	однако в	4	2
140	то он	2	2
141	но о	2	2
142	и того	2	2
143	в качестве	8	2
144	как его	2	2
145	мы не	4	2
146	или иначе	2	2
147	тому как	2	2
148	подобно тому	2	2
149	едва ли	3	2
150	в области	3	2
151	этот раз	2	2
152	не можем	2	2
