N	2gram	Savitsky_E_1	Formalny
1	т е	9	34
2	и в	37	24
3	в его	2	23
4	прежде всего	9	22
5	и не	14	20
6	так и	10	18
7	не может	9	16
8	точки зрения	23	16
9	в этом	12	15
10	может быть	6	14
11	с точки	17	13
12	таким образом	2	13
13	в своем	14	11
14	как и	7	11
15	в своей	8	11
16	в их	11	11
17	вовсе не	6	10
18	то же	15	10
19	в ней	4	10
20	а не	2	10
21	и потому	5	9
22	в процессе	4	9
23	в то	16	9
24	в ее	8	8
25	же время	14	8
26	именно в	4	8
27	в свою	3	8
28	то что	6	8
29	как в	3	8
30	и на	6	8
31	не в	5	8
32	и с	2	8
33	место в	3	7
34	в содержании	2	7
35	должна быть	2	7
36	и от	3	7
37	не только	18	7
38	жизни и	2	7
39	но и	14	7
40	отнюдь не	9	6
41	и все	2	6
42	было бы	8	6
43	в том	11	6
44	в идеологическом	2	6
45	в этой	2	6
46	свою очередь	2	6
47	в пределах	25	6
48	она не	2	6
49	как бы	6	6
50	а в	2	6
51	на основе	2	6
52	как это	4	6
53	хотя бы	15	5
54	по себе	4	5
55	бы ни	3	5
56	во всех	6	5
57	в самом	4	5
58	со стороны	5	5
59	как мы	5	5
60	того что	7	5
61	с другой	7	5
62	но в	14	5
63	независимо от	4	4
64	главным образом	2	4
65	в частности	5	4
66	никогда не	3	4
67	стороны и	6	4
68	с другими	2	4
69	и к	3	4
70	в мире	2	4
71	одной стороны	8	4
72	если бы	2	4
73	всяком случае	3	4
74	так же	9	4
75	что в	21	4
76	с одной	8	4
77	как на	3	4
78	не из	3	4
79	с этой	6	4
80	во всяком	3	4
81	в истории	2	4
82	но не	5	3
83	в отношении	32	3
84	подходит к	2	3
85	в них	3	3
86	то ни	4	3
87	бы то	4	3
88	или иного	4	3
89	к тому	8	3
90	и как	2	3
91	в большинстве	2	3
92	ни на	3	3
93	в общем	3	3
94	дело идет	2	3
95	на язык	2	3
96	он не	2	3
97	и отчасти	2	3
98	же в	2	3
99	когда он	3	3
100	время в	3	3
101	всего в	2	3
102	в россии	5	3
103	влияние на	2	3
104	и других	2	3
105	культуры и	2	3
106	мы не	4	3
107	тем самым	5	3
108	и наконец	2	3
109	и даже	6	3
110	между ними	2	3
111	целый ряд	2	3
112	в себе	9	3
113	думать что	8	3
114	бы в	2	3
115	в области	11	3
116	и чем	2	3
117	того или	4	2
118	и более	2	2
119	же как	5	2
120	с тем	3	2
121	в другой	2	2
122	на своем	3	2
123	и со	3	2
124	жизни в	3	2
125	с этим	2	2
126	в применении	3	2
127	в одном	2	2
128	вопрос о	4	2
129	не можем	2	2
130	идет о	3	2
131	ни было	4	2
132	мы видели	3	2
133	только в	9	2
134	и если	2	2
135	одной из	5	2
136	проблемы и	2	2
137	от друга	2	2
138	все более	9	2
139	к ней	4	2
140	техники и	4	2
141	точка зрения	2	2
142	что и	3	2
143	не есть	2	2
144	друг от	2	2
145	вместе с	2	2
146	не дает	3	2
147	во всей	2	2
148	не на	4	2
149	применении к	3	2
150	и что	2	2
151	как их	2	2
152	культуры с	2	2
153	в результате	3	2
154	между тем	8	2
155	от этого	5	2
156	в своих	2	2
157	отношении к	15	2
158	большинстве случаев	3	2
159	в эту	2	2
160	мира в	4	2
161	ее от	2	2
