N	2gram	Tiupa_Anal_3	RusskieA
1	и в	18	36
2	а а	5	25
3	не только	22	22
4	что в	9	19
5	том что	12	19
6	в том	9	17
7	но и	13	16
8	в этом	14	12
9	это не	2	10
10	как и	14	10
11	вместе с	2	10
12	и на	4	10
13	об этом	2	9
14	а в	10	9
15	с тем	2	8
16	состоит в	4	8
17	может быть	9	8
18	один из	2	8
19	и по	2	8
20	о том	6	8
21	как это	3	8
22	что они	3	7
23	что и	5	7
24	так и	14	7
25	между тем	5	7
26	и не	12	6
27	при этом	11	6
28	в них	2	6
29	уже не	5	6
30	таким образом	4	6
31	мы не	3	6
32	все это	3	6
33	то что	2	6
34	все же	4	5
35	как бы	10	5
36	а и	4	5
37	как в	3	5
38	из этих	3	4
39	к этому	3	4
40	как уже	2	4
41	в тех	2	4
42	к тому	6	4
43	представляет собой	5	4
44	одна из	2	4
45	еще не	6	4
46	вплоть до	2	4
47	и а	4	4
48	во всех	2	4
49	в их	6	4
50	так в	3	4
51	не может	2	4
52	входит в	2	4
53	мы имеем	5	4
54	тем что	2	4
55	только в	2	4
56	что по	4	4
57	не менее	4	3
58	к жизни	3	3
59	о чем	4	3
60	в качестве	12	3
61	в своем	4	3
62	но они	2	3
63	в одном	4	3
64	в свою	5	3
65	и к	4	3
66	тем не	2	3
67	несмотря на	2	3
68	как правило	5	3
69	а также	2	3
70	если в	3	3
71	не с	2	3
72	своего рода	8	3
73	приводит к	4	3
74	то же	3	3
75	с точки	2	3
76	ничего не	3	3
77	точки зрения	3	3
78	то есть	10	3
79	далеко не	4	3
80	этого слова	2	3
81	не было	3	2
82	в частности	12	2
83	могут быть	2	2
84	с этим	3	2
85	и потому	2	2
86	в каждом	3	2
87	в нем	2	2
88	в жизни	2	2
89	и как	4	2
90	в дальнейшем	2	2
91	свою очередь	4	2
92	но не	7	2
93	в большинстве	2	2
94	отнюдь не	4	2
95	когда он	2	2
96	например в	2	2
97	у и	3	2
98	в ней	2	2
99	в его	7	2
100	в целом	3	2
101	его как	3	2
102	судя по	2	2
103	что она	2	2
104	в особенности	3	2
105	тогда как	20	2
106	все эти	2	2
107	в году	3	2
108	а не	9	2
109	и для	2	2
110	после чего	2	2
111	не случайно	8	2
112	мы можем	2	2
113	хотя и	2	2
114	на себя	2	2
115	и здесь	2	2
116	но в	2	2
117	там где	2	2
