N	3gram	Losev_Prob_2	Myslijsy
1	в том что	4	16
2	только тогда когда	3	7
3	по крайней мере	6	5
4	в то же	4	5
5	не есть ни	3	4
6	с другой стороны	5	4
7	но и в	3	4
8	то есть не	3	4
9	не только в	2	4
10	само по себе	2	3
11	может быть только	2	3
12	тем не менее	12	3
13	до сих пор	4	3
14	более или менее	4	3
15	и т д	6	3
16	с одной стороны	5	3
17	не может быть	3	3
18	только в том	4	3
19	для того чтобы	2	3
20	можно сказать что	3	2
21	и той же	2	2
22	то что мы	7	2
23	в таком случае	10	2
24	сама по себе	4	2
25	не только не	2	2
26	но никак не	2	2
27	подобно тому как	2	2
28	одной и той	2	2
