N	3gram	Savitsky_E_1	Myshleni
1	с точки зрения	16	21
2	для того чтобы	5	18
3	в том что	6	13
4	по сравнению с	2	7
5	так же как	5	7
6	в данном случае	2	5
7	с одной стороны	8	5
8	с этой точки	5	4
9	на то что	2	4
10	этой точки зрения	5	4
11	не может быть	2	4
12	заключается в том	2	4
13	одной стороны и	6	3
14	можно сказать что	3	3
15	как мы видели	2	3
16	в этом отношении	3	3
17	в большинстве случаев	2	2
18	в свою очередь	2	2
19	прежде всего в	2	2
20	же как и	3	2
21	друг от друга	2	2
22	в известном смысле	3	2
23	из того что	2	2
24	приводит нас к	2	2
25	друг с другом	3	2
