N	2gram	Trubetskoy_1	FransuaR
1	и в	26	29
2	то есть	4	21
3	таким образом	22	20
4	и не	8	16
5	в эпоху	7	15
6	и все	2	13
7	в этой	4	13
8	но в	7	12
9	так и	6	11
10	и на	2	11
11	в этом	15	11
12	то же	4	10
13	во время	4	10
14	в то	4	10
15	не только	10	10
16	в конце	6	9
17	но и	9	9
18	все эти	6	9
19	и с	10	9
20	же время	2	8
21	прежде всего	2	8
22	в его	5	8
23	как бы	12	8
24	в них	2	7
25	мы видели	2	7
26	так же	5	7
27	в том	11	7
28	так как	9	7
29	из них	7	6
30	что это	3	5
31	того же	6	5
32	и о	3	5
33	далеко не	4	5
34	в нем	4	5
35	и по	4	5
36	сказать что	2	5
37	только для	2	4
38	с его	2	4
39	в образе	2	4
40	что он	4	4
41	по своему	2	4
42	связанные с	7	4
43	еще не	2	4
44	конце концов	3	4
45	один из	2	4
46	то что	7	4
47	жизни и	2	4
48	конечно не	2	4
49	все это	6	4
50	с другой	8	4
51	связана с	2	4
52	связан с	2	4
53	в результате	3	4
54	точки зрения	13	4
55	в которой	3	4
56	том числе	5	3
57	в качестве	3	3
58	в своем	3	3
59	превращается в	2	3
60	самого начала	2	3
61	и здесь	2	3
62	все же	6	3
63	с самого	3	3
64	том что	7	3
65	и как	3	3
66	более или	5	3
67	мы можем	2	3
68	тот же	2	3
69	того что	3	3
70	некоторые из	2	3
71	он не	4	3
72	к нему	7	3
73	или менее	5	3
74	в разных	2	3
75	одновременно и	2	3
76	при этом	3	3
77	у них	3	3
78	образом в	5	3
79	того чтобы	5	3
80	для того	5	3
81	и даже	3	3
82	особенно в	2	3
83	в себе	6	3
84	по своей	2	3
85	в эту	2	3
86	уже в	2	2
87	связи с	9	2
88	связанных с	2	2
89	и другие	3	2
90	к этому	3	2
91	числе и	4	2
92	в этих	4	2
93	к тому	6	2
94	и к	5	2
95	уже давно	2	2
96	одной из	5	2
97	из этого	2	2
98	когда же	2	2
99	так называемые	3	2
100	именно в	2	2
101	но не	8	2
102	одной стороны	7	2
103	не может	4	2
104	может быть	10	2
105	никогда не	5	2
106	уже не	3	2
107	а также	2	2
108	в виду	2	2
109	в котором	4	2
110	если в	3	2
111	и для	5	2
112	характер носят	2	2
113	в других	3	2
114	с одной	7	2
115	и у	8	2
116	и наконец	2	2
117	с точки	6	2
118	как на	8	2
119	и при	3	2
120	только в	4	2
121	о том	6	2
122	и это	2	2
123	к которому	2	2
124	в новом	2	2
