N	3gram	Ircho_Kome_3	Myshleni
1	для того чтобы	6	14
2	по отношению к	3	12
3	в том что	9	11
4	с точки зрения	3	9
5	с самого начала	4	5
6	по сравнению с	2	5
7	в этом отношении	2	5
8	то же самое	3	4
9	в то время	2	4
10	о том что	4	4
11	то время как	2	4
12	состоит в том	2	3
13	с одной стороны	3	3
14	в свою очередь	6	3
15	в этом случае	2	3
16	до сих пор	9	3
17	в самом деле	6	2
18	что он не	2	2
19	о том как	3	2
20	с другой стороны	2	2
21	именно потому что	2	2
22	вместе с тем	3	2
23	то обстоятельство что	2	2
24	но все же	2	2
