N	2gram	Ircho_Kome_1	FransuaR
1	и в	22	65
2	и не	8	22
3	вовсе не	2	18
4	в сущности	2	16
5	в том	11	16
6	в этом	3	15
7	но в	4	14
8	в нем	4	13
9	нового времени	5	13
10	прежде всего	5	11
11	и на	3	11
12	и его	8	10
13	не только	10	10
14	но и	11	10
15	так и	5	10
16	в его	5	9
17	все это	5	9
18	по своему	3	8
19	здесь в	3	8
20	и даже	5	8
21	за пределы	2	8
22	его в	3	7
23	в области	2	7
24	точки зрения	4	7
25	только в	3	7
26	главным образом	3	6
27	том что	12	6
28	все же	3	6
29	как мы	4	6
30	времени и	2	6
31	еще не	2	6
32	при этом	5	6
33	может быть	9	6
34	в отношении	6	6
35	в году	3	6
36	и у	3	6
37	так как	4	6
38	в одном	8	5
39	в частности	3	5
40	в них	3	5
41	потому что	5	5
42	отличие от	2	5
43	на протяжении	4	5
44	и одновременно	3	5
45	еще и	2	5
46	как в	5	5
47	как и	9	5
48	в своих	2	5
49	между тем	5	5
50	и все	3	5
51	на всю	3	4
52	не в	6	4
53	в этой	7	4
54	отношение к	3	4
55	в самом	2	4
56	из них	10	4
57	сих пор	2	4
58	до сих	2	4
59	в их	4	4
60	здесь и	2	4
61	во время	5	4
62	и еще	3	4
63	что в	6	3
64	в состоянии	2	3
65	и во	2	3
66	в тех	3	3
67	новое время	3	3
68	что он	6	3
69	но это	2	3
70	в новое	2	3
71	по своей	2	3
72	даже в	3	3
73	к нему	2	3
74	то что	2	3
75	на землю	3	3
76	до нас	5	3
77	как раз	3	3
78	не может	2	3
79	этом отношении	3	3
80	и других	7	3
81	в себя	2	3
82	в форме	2	3
83	с другой	5	3
84	золотого века	5	3
85	в других	2	3
86	в более	3	3
87	в себе	2	3
88	и здесь	2	3
89	ничего не	3	3
90	и с	3	3
91	но не	2	2
92	к тому	6	2
93	и без	2	2
94	были в	2	2
95	в противоположность	2	2
96	на все	2	2
97	либо как	2	2
98	же в	4	2
99	протяжении всего	2	2
100	он был	2	2
101	да и	3	2
102	из всех	2	2
103	это время	2	2
104	мы найдем	2	2
105	до конца	2	2
106	одной стороны	3	2
107	несмотря на	4	2
108	на его	5	2
109	между прочим	2	2
110	наряду с	2	2
111	хотя и	3	2
112	он не	3	2
113	в народном	5	2
114	и особенно	4	2
115	видеть в	2	2
116	в целом	3	2
117	не к	2	2
118	во второй	3	2
119	на него	4	2
120	второй половине	2	2
121	с одной	3	2
122	и вот	4	2
123	и по	6	2
124	или в	2	2
125	образом в	2	2
126	могут быть	3	2
127	отрицательные явления	2	2
128	о том	8	2
129	в чем	3	2
130	у других	2	2
131	дошедших до	3	2
