N	3gram	Potebnia_M_4	Problema
1	о том что	5	9
2	с точки зрения	3	8
3	в том что	7	8
4	тем не менее	4	5
5	по крайней мере	5	4
6	можно сказать что	4	3
7	и то что	4	3
8	не что иное	2	3
9	только тогда когда	4	3
10	вместе с тем	3	3
11	обратить внимание на	2	3
12	что иное как	2	3
13	после того как	2	3
14	в данном случае	2	2
15	то и другое	2	2
16	на то что	4	2
17	во всяком случае	3	2
18	в таком случае	2	2
19	не может быть	5	2
20	равно как и	2	2
21	по отношению к	8	2
22	для того чтобы	4	2
23	до сих пор	4	2
