N	2gram	Vygotskiy__7	Sotsiolo
1	все это	3	7
2	в том	18	5
3	в этом	29	5
4	не в	4	3
5	для нас	2	3
6	и только	4	3
7	в его	4	3
8	и в	26	3
9	не только	24	3
10	по отношению	6	2
11	еще не	4	2
12	было бы	6	2
13	она может	2	2
14	только в	8	2
15	в конце	4	2
16	нужно было	4	2
17	это и	4	2
18	таким образом	23	2
19	том что	17	2
20	то же	8	2
21	отношению к	5	2
22	то что	24	2
23	может быть	7	2
24	и что	6	2
25	но и	11	2
26	очевидно что	3	2
27	и заключается	3	2
28	в смысле	6	2
29	по природе	2	2
30	исторического развития	3	2
31	как бы	6	2
32	ведь это	2	2
33	что в	12	2
