N	2gram	Potebnia_M_2	Poddanst
1	не только	15	17
2	и в	24	14
3	и не	19	12
4	в этом	8	10
5	то же	12	9
6	в том	18	9
7	но в	4	9
8	хотя бы	2	8
9	же время	2	7
10	в то	6	7
11	только в	11	7
12	быть может	7	6
13	но и	9	6
14	в ней	3	6
15	было бы	13	6
16	с другой	6	5
17	не в	13	5
18	отношении к	2	5
19	может быть	23	5
20	же в	5	4
21	в котором	4	4
22	то что	20	4
23	что в	16	4
24	если бы	11	4
25	не может	12	4
26	по себе	15	4
27	а в	8	4
28	том что	8	4
29	мы должны	2	4
30	и если	4	4
31	как бы	9	4
32	и потому	2	4
33	сами по	7	3
34	в нем	9	3
35	и т	6	3
36	с тем	4	3
37	в сравнении	2	3
38	она есть	2	3
39	столь же	5	3
40	это не	3	3
41	с одной	4	3
42	прежде всего	7	3
43	тем самым	4	3
44	для того	5	3
45	мы не	11	3
46	сравнении с	2	3
47	и как	6	3
48	с ними	3	3
49	между тем	6	3
50	но не	12	3
51	могут быть	8	3
52	в себе	10	3
53	что мы	11	3
54	тот же	5	3
55	одной стороны	3	3
56	вслед за	3	3
57	потому что	49	3
58	хотя и	3	3
59	не менее	5	2
60	и тем	3	2
61	и есть	2	2
62	во всех	7	2
63	со стороны	3	2
64	заключает в	4	2
65	в них	5	2
66	есть нечто	3	2
67	все это	2	2
68	не столько	2	2
69	отношения к	2	2
70	с этим	7	2
71	в жизни	2	2
72	между прочим	4	2
73	главным образом	4	2
74	думать что	3	2
75	и других	2	2
76	было в	2	2
77	а не	18	2
78	бы ни	5	2
79	того что	7	2
80	слова но	2	2
81	должно быть	2	2
82	для нас	31	2
83	как на	3	2
84	если в	3	2
85	есть не	5	2
86	есть в	2	2
87	одна из	4	2
88	не было	6	2
89	из них	5	2
90	в общем	2	2
91	например в	3	2
92	и это	2	2
93	знать что	2	2
94	мысль о	7	2
95	в ряду	6	2
96	в эту	3	2
97	в его	2	2
98	взгляда на	2	2
99	помнить что	3	2
