N	2gram	Losev_Vesc_1	Myshleni
1	в этом	4	29
2	точки зрения	5	28
3	и в	21	26
4	не только	36	24
5	для себя	5	24
6	то что	27	24
7	таким образом	8	23
8	с точки	3	21
9	того чтобы	3	19
10	в том	8	18
11	и не	29	18
12	для того	2	18
13	том что	8	17
14	потому что	16	16
15	как и	8	15
16	того что	8	14
17	так как	7	14
18	как мы	4	14
19	что в	9	12
20	и его	2	12
21	но и	18	11
22	только не	2	11
23	мысли и	3	11
24	в слове	2	11
25	не может	17	11
26	что они	6	10
27	по своей	2	10
28	слова и	5	10
29	тому что	2	9
30	в самом	9	9
31	по сравнению	7	9
32	что мы	14	9
33	в сущности	4	9
34	слово и	4	9
35	тем что	2	9
36	в себе	14	9
37	то же	6	8
38	что она	15	8
39	сказать что	17	8
40	свое выражение	3	8
41	сравнению с	6	8
42	той же	2	8
43	только в	14	8
44	к тому	3	7
45	прежде всего	9	7
46	может быть	16	7
47	мы не	6	7
48	и то	10	7
49	в смысле	12	6
50	и тем	3	6
51	мы должны	2	6
52	как бы	12	6
53	в ее	7	6
54	и что	15	6
55	было бы	14	6
56	во всех	2	6
57	все эти	3	6
58	все же	4	6
59	самом деле	4	6
60	а не	19	6
61	выражение в	3	6
62	что это	13	6
63	слова в	2	5
64	с этой	4	5
65	можно сказать	6	5
66	оно есть	9	5
67	как она	4	5
68	одной стороны	3	5
69	если бы	5	5
70	и следовательно	7	5
71	в виду	2	5
72	и их	7	5
73	данном случае	2	5
74	с одной	3	5
75	оба эти	3	5
76	никак не	3	5
77	и с	8	5
78	себе в	3	5
79	бы в	5	5
80	как это	2	5
81	с тем	5	5
82	тогда когда	5	5
83	в силу	3	5
84	она не	4	5
85	только что	2	5
86	если мы	8	5
87	и для	9	5
88	в данном	5	5
89	является в	2	5
90	не менее	3	4
91	никогда не	2	4
92	что у	5	4
93	с другой	6	4
94	и от	3	4
95	в конце	2	4
96	на то	4	4
97	так что	5	4
98	в котором	3	4
99	в свете	7	4
100	то и	4	4
101	и во	3	4
102	в его	2	4
103	нужно было	2	4
104	о том	6	4
105	но в	5	4
106	стороны и	2	4
107	еще не	8	4
108	не есть	49	4
109	это и	6	4
110	что оно	8	4
111	в той	3	4
112	должны быть	4	4
113	не в	5	4
114	это есть	7	4
115	и только	3	4
116	содержит в	4	3
117	я не	4	3
118	и другое	4	3
119	для этого	4	3
120	все это	5	3
121	это не	5	3
122	в собственном	2	3
123	есть то	9	3
124	одно и	5	3
125	тем не	3	3
126	но это	10	3
127	момент в	6	3
128	для него	4	3
129	мог бы	5	3
130	в ней	12	3
131	в основе	3	3
132	между ними	3	3
133	в первой	2	3
134	как к	4	3
135	только и	2	3
136	мы находим	2	3
137	но только	3	3
138	в самой	2	3
139	во втором	2	3
140	в мысли	3	3
141	мы уже	3	3
142	в первом	2	3
143	с ним	8	3
144	с собой	2	3
145	первом случае	2	3
146	к пониманию	3	3
147	по себе	13	3
148	есть не	14	3
149	об этом	3	3
150	в то	3	3
151	но не	5	3
152	и о	3	3
153	для нее	2	3
154	и потому	5	3
155	что и	3	3
156	в своей	5	3
157	каждой из	2	3
158	собственном смысле	3	3
159	так и	3	3
160	только на	3	3
161	как раз	9	3
162	из того	2	3
163	отличается от	7	3
164	мы видим	2	3
165	с другими	8	3
166	мы можем	4	3
167	природе слова	2	3
168	в этой	3	3
169	же точно	2	3
170	в чем	6	3
171	перед нами	2	2
172	она должна	2	2
173	к действительности	2	2
174	можно ли	7	2
175	от ее	6	2
176	себя и	4	2
177	что между	2	2
178	его и	2	2
179	она является	3	2
180	что все	2	2
181	в уме	3	2
182	что на	2	2
183	для нас	2	2
184	свою очередь	4	2
185	в свою	4	2
186	в работах	2	2
187	в действительности	7	2
188	или в	2	2
189	что ее	2	2
190	но для	2	2
191	но если	8	2
192	один из	3	2
193	в нем	2	2
194	есть только	7	2
195	с ее	6	2
196	только одно	2	2
197	то как	2	2
198	того и	2	2
199	и больше	9	2
200	действительности в	2	2
201	должно быть	6	2
202	а в	4	2
203	что то	2	2
204	также и	6	2
205	но он	2	2
206	и есть	26	2
207	его в	2	2
208	от нее	2	2
209	с этим	3	2
210	этих двух	2	2
211	вовсе не	10	2
212	себя от	2	2
213	и здесь	4	2
214	она может	4	2
215	а затем	2	2
216	у нас	7	2
217	это значило	3	2
218	то в	4	2
219	бы сказать	2	2
220	нельзя было	4	2
221	но именно	2	2
222	совершенно не	5	2
223	мы говорили	2	2
224	только к	2	2
225	к ней	2	2
226	относится к	5	2
227	с ней	2	2
228	и делает	2	2
229	что же	8	2
230	но то	2	2
231	находится в	3	2
232	в отношении	4	2
233	но с	2	2
234	можно говорить	2	2
235	что не	5	2
236	можно было	2	2
237	нас в	3	2
238	во всяком	3	2
239	моментов в	2	2
240	вещи и	20	2
241	и ее	18	2
242	я могу	2	2
243	ту же	2	2
244	на ее	3	2
245	мы говорим	5	2
246	ничего не	3	2
247	понятий и	2	2
