N	2gram	Bakhtin_Pr_5	Literetu
1	не только	10	24
2	при этом	2	19
3	но и	14	17
4	а не	4	16
5	в том	5	16
6	том что	3	14
7	может быть	14	13
8	и не	27	12
9	в этом	14	12
10	прежде всего	12	11
11	в своем	2	11
12	своего рода	2	11
13	то что	10	10
14	не в	10	8
15	в целом	3	8
16	и в	35	8
17	только в	6	8
18	не менее	2	7
19	я не	8	7
20	в его	21	7
21	как бы	31	7
22	уже не	3	7
23	в себе	5	7
24	я и	2	7
25	в жизни	2	6
26	как и	18	6
27	и сам	7	6
28	себя в	2	6
29	того что	3	6
30	точки зрения	7	6
31	то есть	16	6
32	с его	7	5
33	с этой	2	5
34	что он	24	5
35	же время	10	5
36	я в	4	5
37	для себя	7	5
38	как в	5	5
39	не может	18	5
40	то же	15	5
41	в отличие	2	5
42	уже в	3	5
43	в то	11	5
44	отличие от	2	5
45	для этого	2	4
46	столь же	2	4
47	это не	3	4
48	о себе	17	4
49	в конце	5	4
50	чужого сознания	4	4
51	с миром	3	4
52	но не	6	4
53	еще не	7	4
54	еще в	4	4
55	все же	8	4
56	из них	3	4
57	в своей	4	4
58	так и	8	4
59	и т.п	6	4
60	никогда не	4	4
61	лишь в	7	4
62	друг друга	2	4
63	и его	14	4
64	как раз	4	4
65	не как	3	4
66	с собой	2	4
67	в душе	2	3
68	что в	6	3
69	с другой	4	3
70	сводится к	3	3
71	да и	5	3
72	что его	2	3
73	в пределах	11	3
74	и прежде	4	3
75	например в	2	3
76	в самом	6	3
77	не мог	3	3
78	у него	4	3
79	же и	4	3
80	приводит к	2	3
81	по отношению	6	3
82	бы не	2	3
83	а в	7	3
84	таким образом	7	3
85	другого в	4	3
86	и даже	5	3
87	той же	2	3
88	потому что	8	3
89	во всяком	4	3
90	нуждается в	3	3
91	он и	5	3
92	к себе	18	3
93	но в	19	3
94	по своей	2	3
95	его в	4	3
96	в виду	3	3
97	на этом	2	2
98	этого не	3	2
99	как все	2	2
100	а как	2	2
101	это уже	2	2
102	обращается к	2	2
103	однако в	2	2
104	у достоевского	12	2
105	та же	4	2
106	подобно тому	2	2
107	раз и	3	2
108	своего героя	2	2
109	в мире	4	2
110	к тому	6	2
111	тому же	3	2
112	и того	2	2
113	из его	2	2
114	в другом	12	2
115	что я	13	2
116	или иной	4	2
117	для него	14	2
118	было бы	3	2
119	за пределы	3	2
120	на другого	2	2
121	всяком случае	4	2
122	даже в	5	2
123	в нем	16	2
124	отношению к	7	2
125	в сущности	14	2
126	только на	4	2
127	все эти	3	2
128	для вас	2	2
129	от себя	5	2
130	чтобы не	2	2
131	это как	3	2
132	самом деле	10	2
133	что не	4	2
134	хотя бы	2	2
135	с точки	2	2
136	в слове	6	2
137	можно было	2	2
138	тому как	2	2
139	самим собой	7	2
140	и то	5	2
141	не случайно	2	2
142	между тем	4	2
143	тем что	4	2
144	самим собою	9	2
145	как будто	4	2
146	о том	2	2
147	как он	2	2
