N	2gram	Kanaev_Sov_1	Formalny
1	и не	6	30
2	и в	7	27
3	может быть	12	25
4	не может	17	24
5	таким образом	11	18
6	в этом	7	18
7	а не	3	17
8	точки зрения	12	16
9	самом деле	2	16
10	и пр	2	15
11	в нем	3	15
12	то же	3	15
13	как и	6	14
14	с точки	5	14
15	не в	3	12
16	в самом	2	11
17	не могут	2	10
18	так как	4	9
19	не только	4	9
20	что в	2	8
21	при этом	3	8
22	как бы	4	8
23	с помощью	4	8
24	отнюдь не	3	8
25	и все	3	8
26	как мы	2	8
27	не менее	2	7
28	в том	4	7
29	все это	3	7
30	совершенно не	2	7
31	в его	2	7
32	если мы	4	7
33	тем же	2	7
34	всяком случае	2	6
35	все эти	5	6
36	но в	3	6
37	еще не	3	6
38	было бы	3	6
39	все же	3	6
40	во всяком	2	6
41	вместе с	4	6
42	в каждом	8	5
43	зависимости от	4	5
44	в дальнейшем	4	5
45	в результате	6	5
46	в зависимости	4	5
47	и потому	3	5
48	что же	5	5
49	если же	2	5
50	так сказать	2	5
51	уже в	3	4
52	то ни	2	4
53	прежде всего	5	4
54	мы знаем	2	4
55	мы видели	4	4
56	в целом	4	4
57	жизни и	4	4
58	мы можем	6	4
59	между собой	3	4
60	роль в	2	4
61	мы не	9	4
62	могут быть	2	4
63	что это	2	3
64	это не	4	3
65	в конце	3	3
66	для нас	3	3
67	той же	2	3
68	и что	2	3
69	их в	4	3
70	ясно что	3	3
71	в условиях	5	3
72	у нас	3	3
73	же самое	2	3
74	нет и	4	3
75	уже не	2	3
76	в себе	3	3
77	а на	2	2
78	говорить об	2	2
79	или иной	2	2
80	такой же	2	2
81	в этой	3	2
82	на этом	2	2
83	не можем	7	2
84	только один	2	2
85	он может	3	2
86	из них	4	2
87	что она	3	2
88	отличается от	3	2
89	и даже	2	2
90	может иметь	2	2
91	знаем что	2	2
92	из этих	2	2
93	как он	3	2
94	видели что	3	2
95	и во	2	2
96	из одного	2	2
97	говорить о	2	2
98	одна из	3	2
99	мы должны	4	2
100	тем не	2	2
101	и именно	2	2
102	в отличие	2	2
103	в таком	2	2
104	форма в	2	2
105	отличие от	2	2
106	в области	3	2
107	ничего не	6	2
