N	3gram	Losev_Prob_1	KulturaY
1	с точки зрения	3	16
2	в самом деле	2	11
3	для того чтобы	8	11
4	можно было бы	2	10
5	тем не менее	18	9
6	в том что	5	8
7	и т д	10	8
8	до сих пор	3	8
9	той или иной	4	5
10	в данном случае	8	4
11	и в самом	2	4
12	и в этом	2	4
13	в связи с	4	4
14	в этом случае	2	4
15	с другой стороны	3	3
16	и тем не	8	3
17	сам по себе	7	3
18	не может быть	2	3
19	того или иного	2	3
20	на самом деле	4	3
21	о том что	5	3
22	и того же	2	2
23	сама по себе	4	2
24	как раз и	7	2
25	только то что	4	2
26	более или менее	3	2
27	в таком случае	6	2
28	так как он	2	2
29	не говоря уже	2	2
30	а не просто	4	2
31	одного и того	2	2
