N	2gram	Losev_Prob_5	FransuaR
1	и в	30	65
2	то есть	21	45
3	как бы	6	22
4	и не	12	22
5	вовсе не	8	18
6	в том	12	16
7	в этом	17	15
8	но в	9	14
9	в нем	6	13
10	нового времени	4	13
11	прежде всего	6	11
12	и на	6	11
13	том числе	2	10
14	и его	6	10
15	не только	18	10
16	но и	13	10
17	так и	7	10
18	все эти	2	10
19	в эпоху	3	9
20	в его	12	9
21	в своем	11	8
22	в духе	3	8
23	в дальнейшем	7	8
24	здесь в	2	8
25	и другие	3	8
26	и даже	14	8
27	его в	6	7
28	в области	2	7
29	жизни и	2	7
30	точки зрения	10	7
31	только в	9	7
32	никогда не	7	6
33	том что	17	6
34	все же	9	6
35	как мы	2	6
36	в значительной	2	6
37	еще не	3	6
38	при этом	4	6
39	может быть	7	6
40	в ней	3	6
41	в отношении	3	6
42	в году	5	6
43	и у	5	6
44	сказать что	9	6
45	так как	6	6
46	в одном	3	5
47	в частности	4	5
48	еще более	3	5
49	жизни в	4	5
50	в них	2	5
51	потому что	13	5
52	есть в	2	5
53	в большей	2	5
54	земли и	2	5
55	в своей	22	5
56	еще и	4	5
57	как в	2	5
58	как и	7	5
59	между тем	2	5
60	и все	9	5
61	поэтому и	2	4
62	связи с	7	4
63	это уже	2	4
64	и к	4	4
65	не в	7	4
66	в этой	10	4
67	отношение к	2	4
68	в самом	5	4
69	из них	2	4
70	и до	2	4
71	сих пор	2	4
72	до сих	2	4
73	для нас	10	4
74	мира и	2	4
75	не могут	2	3
76	мы будем	2	3
77	что в	5	3
78	это не	2	3
79	не просто	5	3
80	новое время	3	3
81	что он	7	3
82	в ее	3	3
83	но все	4	3
84	мы и	2	3
85	в самой	3	3
86	самом деле	2	3
87	в новое	3	3
88	но для	2	3
89	по своей	2	3
90	к нему	3	3
91	с точки	8	3
92	то что	18	3
93	и их	5	3
94	на землю	7	3
95	до нас	7	3
96	как раз	5	3
97	не может	5	3
98	разного рода	4	3
99	уже не	6	3
100	с другой	6	3
101	по его	2	3
102	в других	3	3
103	даже и	4	3
104	он и	5	3
105	в себе	4	3
106	и вообще	9	3
107	далеко не	4	3
108	с ним	3	3
109	ничего не	2	3
110	и с	5	3
111	в виду	3	3
112	мира в	3	3
113	но не	7	2
114	к тому	2	2
115	и без	2	2
116	в противоположность	3	2
117	или к	2	2
118	раз и	2	2
119	значение и	2	2
120	можно сказать	6	2
121	же в	3	2
122	он был	2	2
123	да и	2	2
124	из всех	2	2
125	это время	2	2
126	а его	4	2
127	кроме того	2	2
128	и человека	2	2
129	одной стороны	3	2
130	в это	2	2
131	и он	4	2
132	несмотря на	6	2
133	на его	2	2
134	наряду с	2	2
135	хотя и	8	2
136	он не	3	2
137	его на	2	2
138	значительной мере	2	2
139	в таких	2	2
140	и для	6	2
141	не к	2	2
142	на него	2	2
143	которого мы	2	2
144	с одной	3	2
145	не входит	2	2
146	того что	3	2
147	что не	2	2
148	в заключение	2	2
149	есть только	3	2
150	в таком	2	2
151	или в	4	2
152	быть только	3	2
153	о том	12	2
154	из тех	2	2
155	дело в	2	2
156	в чем	2	2
157	в мир	2	2
