N	2gram	Tiupa_Lite_1	Istorich
1	что он	5	24
2	не только	24	18
3	может быть	13	17
4	никогда не	4	15
5	и в	8	15
6	но и	17	14
7	что в	3	12
8	а в	3	12
9	то что	10	12
10	и не	12	11
11	в этом	12	11
12	его в	3	10
13	то же	5	10
14	еще не	4	9
15	все же	4	9
16	в другом	2	9
17	потому что	3	9
18	связи с	6	8
19	один из	3	8
20	том что	14	7
21	в нем	2	7
22	таким образом	3	7
23	не в	8	7
24	в его	7	6
25	как бы	7	6
26	то это	2	6
27	в том	16	6
28	только в	8	6
29	но в	3	6
30	и есть	3	5
31	прежде всего	11	5
32	к тому	2	5
33	как в	5	5
34	было бы	2	5
35	этого не	2	5
36	так и	4	5
37	не может	5	5
38	в связи	4	5
39	а не	16	5
40	можно было	2	5
41	в русской	10	5
42	представляет собой	4	5
43	с одной	2	4
44	и др	3	4
45	у него	3	4
46	в этой	4	4
47	при этом	19	4
48	дело не	2	4
49	не должен	3	4
50	тем что	2	4
51	в себе	7	4
52	все эти	2	4
53	в качестве	17	3
54	не мог	3	3
55	и его	4	3
56	из этих	2	3
57	как это	8	3
58	одной стороны	2	3
59	же и	3	3
60	о том	2	3
61	отношению к	2	3
62	в их	3	3
63	по отношению	3	3
64	в себя	2	3
65	того что	6	3
66	не обладает	2	3
67	роль в	2	3
68	тому как	2	3
69	подобно тому	2	3
70	он и	3	3
71	как будто	2	3
72	как он	2	3
73	уже в	5	2
74	я не	7	2
75	не было	3	2
76	могут быть	2	2
77	с другой	3	2
78	это не	4	2
79	не столько	5	2
80	в жизни	6	2
81	к себе	3	2
82	да и	3	2
83	как и	6	2
84	в силу	4	2
85	одна из	3	2
86	но не	4	2
87	одно из	3	2
88	в нашей	2	2
89	мы в	2	2
90	например в	3	2
91	на один	2	2
92	в сущности	2	2
93	так называемый	2	2
94	а также	5	2
95	говорится в	2	2
96	хотя бы	2	2
97	из них	4	2
98	приводит к	3	2
99	и только	2	2
100	той же	3	2
101	не сам	2	2
102	имеется в	2	2
103	превращается в	2	2
104	самом деле	2	2
105	тем самым	5	2
106	и вполне	2	2
107	и то	2	2
108	состоит в	11	2
109	нет ничего	2	2
110	тому же	2	2
111	в виду	3	2
