N	2gram	Medvedev_F_3	SlovoVZh
1	не может	24	16
2	точки зрения	16	14
3	может быть	25	14
4	и его	19	13
5	как бы	8	13
6	таким образом	18	12
7	и в	27	12
8	отношению к	3	11
9	по отношению	3	11
10	и не	30	10
11	если бы	12	9
12	так как	9	9
13	прежде всего	4	8
14	художественного произведения	7	7
15	для нас	3	7
16	сказать что	3	7
17	в нем	15	6
18	все время	6	6
19	в процессе	15	6
20	при этом	8	6
21	с помощью	8	6
22	в том	7	6
23	только в	8	6
24	слова и	4	6
25	в ней	5	6
26	и др	2	5
27	в жизни	11	5
28	то что	8	5
29	должна быть	3	5
30	никогда не	5	5
31	поэтическое произведение	5	5
32	а не	17	5
33	можно сказать	3	5
34	то же	15	5
35	хотя бы	6	5
36	как и	14	5
37	том что	4	5
38	отнюдь не	8	5
39	как в	4	5
40	героя и	2	5
41	и следовательно	3	5
42	но в	6	5
43	мы ни	2	5
44	в виду	3	5
45	ни было	5	4
46	все же	6	4
47	жизни и	4	4
48	к материалу	3	4
49	высказывания как	3	4
50	так и	21	4
51	от того	2	4
52	с другой	6	4
53	на самом	14	4
54	уже не	3	4
55	в литературе	6	4
56	социального общения	9	4
57	зависимости от	5	4
58	литературы и	3	4
59	не в	12	4
60	в этом	18	4
61	и на	3	4
62	материала и	3	4
63	его в	7	4
64	дело в	2	4
65	в самом	11	4
66	за пределы	2	4
67	свое выражение	2	4
68	и является	4	4
69	не только	9	4
70	в котором	2	3
71	в них	3	3
72	и более	3	3
73	бы то	4	3
74	не менее	7	3
75	в художественном	5	3
76	в своей	6	3
77	справедливо и	2	3
78	художественное произведение	11	3
79	все это	7	3
80	социальной группы	2	3
81	то ни	4	3
82	ее и	2	3
83	все эти	6	3
84	ясно что	3	3
85	в такой	2	3
86	по себе	4	3
87	слово в	2	3
88	но и	10	3
89	произведения и	3	3
90	и пр	15	3
91	того что	3	3
92	художественном произведении	3	3
93	тем не	2	3
94	ни в	8	3
95	да и	4	3
96	так же	9	3
97	самом деле	16	3
98	мы не	4	3
99	формы и	3	3
100	и с	3	3
101	о том	4	3
102	художественного творчества	2	3
103	нуждается в	3	3
104	в каком	2	3
105	и ее	6	3
106	в себе	3	3
107	в пределах	8	3
108	еще не	6	3
109	в поэзии	3	3
110	социальных оценок	5	3
111	только на	4	3
112	и для	6	3
113	конечно не	4	3
114	из этого	4	3
115	внутренней речи	2	3
116	здесь не	2	3
117	но для	2	3
118	между тем	7	3
119	истории литературы	6	2
120	место в	10	2
121	перестает быть	2	2
122	уже в	4	2
123	с его	2	2
124	что и	2	2
125	в самое	2	2
126	независимо от	5	2
127	от всех	4	2
128	что в	8	2
129	на все	2	2
130	как не	2	2
131	оценки и	6	2
132	данном случае	4	2
133	вместе с	6	2
134	а к	2	2
135	в зависимости	5	2
136	в этих	3	2
137	между собой	4	2
138	в своем	2	2
139	в отношении	2	2
140	социальной жизни	4	2
141	в какой	3	2
142	допустим что	2	2
143	другой стороны	5	2
144	это не	3	2
145	дело с	3	2
146	смысл и	4	2
147	и все	8	2
148	бы не	2	2
149	тогда когда	4	2
150	жизнью и	2	2
151	содержания и	4	2
152	и содержания	2	2
153	была бы	2	2
154	к этому	2	2
155	те же	3	2
156	и что	3	2
157	оценок и	2	2
158	не есть	4	2
159	с точки	14	2
160	высказывания и	5	2
161	же самое	3	2
162	стороны и	2	2
163	и те	4	2
164	форма в	2	2
165	и притом	2	2
166	социальная оценка	19	2
167	но это	2	2
168	более того	6	2
169	до известной	2	2
170	такой же	2	2
171	в данном	6	2
172	в корне	4	2
173	мы можем	4	2
174	но не	5	2
175	быть только	2	2
176	высказывание как	5	2
177	могут быть	4	2
178	в формах	2	2
179	до конца	4	2
180	она не	4	2
181	в то	7	2
182	может стать	3	2
183	метод в	2	2
184	общения и	2	2
185	если же	5	2
186	имеет место	3	2
187	там где	7	2
188	оно не	3	2
189	идеологического творчества	6	2
190	как это	4	2
191	является для	3	2
192	ничего не	2	2
193	к его	3	2
194	совпадает с	2	2
195	в условиях	3	2
196	в основном	2	2
197	известной степени	2	2
198	в его	7	2
199	и потому	5	2
200	между ними	15	2
