N	2gram	Bakhtin_Pr_1	Marksizm
1	точки зрения	8	34
2	может быть	26	26
3	и не	42	26
4	не может	27	24
5	с точки	6	20
6	и в	38	19
7	и его	16	19
8	таким образом	10	17
9	языка как	2	17
10	в этом	15	16
11	как бы	22	15
12	языка в	3	14
13	прежде всего	13	13
14	как мы	7	13
15	как и	7	12
16	и пр	2	12
17	так и	5	11
18	и для	11	11
19	связи с	2	11
20	в самом	7	10
21	в нем	15	10
22	в слове	3	10
23	ни было	3	10
24	самом деле	6	10
25	лишь в	2	9
26	только в	13	9
27	на материале	3	8
28	при этом	5	8
29	бы то	3	8
30	но и	9	8
31	то ни	3	8
32	не только	9	8
33	все же	6	8
34	то что	8	8
35	в каждом	2	7
36	точка зрения	3	7
37	в связи	2	7
38	все эти	5	7
39	и те	2	7
40	но в	4	7
41	в ее	4	7
42	во всех	11	7
43	бытия в	3	7
44	то же	5	7
45	а не	5	7
46	с помощью	7	6
47	в том	8	6
48	кроме того	3	6
49	в пределах	6	6
50	другой стороны	4	6
51	и здесь	2	6
52	отнюдь не	19	6
53	в его	43	6
54	на почве	3	6
55	ничего не	6	6
56	с другой	7	5
57	языка для	2	5
58	не в	7	5
59	конечно не	5	5
60	рядом с	5	5
61	в начале	2	5
62	и потому	4	5
63	и все	3	5
64	к этому	2	5
65	вовсе не	2	5
66	за пределы	12	5
67	в отличие	5	5
68	входит в	8	5
69	того чтобы	2	5
70	хотя бы	4	5
71	может стать	3	5
72	ясно что	3	5
73	отличие от	5	5
74	что в	7	4
75	не менее	4	4
76	и внешнего	2	4
77	дело идет	2	4
78	в ней	4	4
79	науку об	3	4
80	не является	3	4
81	наук об	3	4
82	форм и	2	4
83	здесь мы	2	4
84	а в	6	4
85	и на	3	4
86	сказать что	4	4
87	еще не	7	4
88	было бы	8	4
89	не будем	3	4
90	нет и	3	4
91	в единство	2	4
92	как в	4	4
93	язык в	2	4
94	для того	2	4
95	и эта	2	4
96	между ними	4	4
97	оно может	2	4
98	в данном	4	4
99	далеко не	5	4
100	место в	8	3
101	этом отношении	2	3
102	и есть	2	3
103	в какой	2	3
104	формы и	5	3
105	и от	3	3
106	а как	3	3
107	переходим к	2	3
108	здесь в	2	3
109	или иной	2	3
110	можно сказать	2	3
111	войти в	2	3
112	и как	8	3
113	в дальнейшем	3	3
114	высшей степени	5	3
115	в большинстве	5	3
116	же время	3	3
117	не дает	2	3
118	не имеют	2	3
119	действительности но	2	3
120	в котором	2	3
121	все это	3	3
122	по отношению	21	3
123	следует что	2	3
124	не было	2	3
125	того что	2	3
126	не имеет	9	3
127	с другими	3	3
128	между тем	7	3
129	нуждается в	2	3
130	только при	2	3
131	в то	4	3
132	же самое	2	3
133	его в	9	3
134	в высшей	5	3
135	большинстве случаев	5	3
136	слово в	2	3
137	он может	2	3
138	не могут	2	3
139	и к	3	3
140	она может	3	3
141	том что	3	3
142	более того	4	3
143	и при	2	3
144	мы должны	2	3
145	действительности и	3	3
146	одной из	3	3
147	совершенно не	7	3
148	в корне	2	3
149	он не	3	3
150	не есть	6	3
151	в своей	7	3
152	в истории	2	3
153	лишь для	2	3
154	на самом	4	3
155	должны быть	4	3
156	и ее	2	3
157	слова и	3	3
158	и это	3	3
159	в области	11	3
160	независимо от	13	2
161	должна быть	4	2
162	в частности	2	2
163	никогда не	5	2
164	дано в	3	2
165	в своем	5	2
166	что все	2	2
167	следовательно не	2	2
168	первый план	2	2
169	слова но	3	2
170	тем не	3	2
171	ни в	11	2
172	узком смысле	2	2
173	основных понятий	2	2
174	связаны с	2	2
175	логику и	2	2
176	связь и	2	2
177	в свою	2	2
178	из важнейших	3	2
179	это отношение	2	2
180	в единстве	12	2
181	совпадает с	2	2
182	в виду	4	2
183	и др	8	2
184	в нашем	4	2
185	создает новую	2	2
186	явление языка	5	2
187	как к	2	2
188	и только	4	2
189	со всех	2	2
190	имеет место	5	2
191	и других	2	2
192	действительности в	2	2
193	и даже	3	2
194	должно быть	5	2
195	можно было	4	2
196	в своих	2	2
197	содержания в	4	2
198	к его	2	2
199	о том	4	2
200	этом смысле	3	2
201	и с	17	2
202	в основе	5	2
203	ни к	2	2
204	к единству	5	2
205	и более	2	2
206	если бы	3	2
207	и во	2	2
208	что он	2	2
209	в себе	4	2
210	в романе	4	2
211	у нас	2	2
212	этот момент	2	2
213	одна из	2	2
214	от него	3	2
215	момент и	2	2
216	она не	2	2
217	другими словами	2	2
218	есть лишь	3	2
219	на первый	2	2
220	как вещь	4	2
221	не все	2	2
222	что и	2	2
223	отношению к	19	2
224	совершенно независимо	2	2
225	не остается	2	2
226	и прежде	5	2
227	всех сторон	2	2
228	в двух	2	2
229	человека в	2	2
230	культуры и	3	2
231	к своему	2	2
232	что не	4	2
233	из которых	2	2
234	и он	2	2
235	менее всего	3	2
236	в таком	3	2
237	или в	2	2
238	мы можем	6	2
239	тем что	2	2
240	могут быть	5	2
241	в другом	2	2
242	и вообще	2	2
243	не знает	3	2
244	без всякой	2	2
245	там где	6	2
246	в чем	2	2
