N	2gram	Propp_Morf_1	Komedia
1	и в	13	26
2	и не	12	14
3	к тому	4	12
4	так и	6	12
5	в том	6	11
6	может быть	52	11
7	но и	4	10
8	в этом	14	10
9	что в	8	9
10	том что	4	9
11	если бы	2	9
12	ясно что	5	8
13	было бы	3	8
14	из них	3	7
15	не только	4	7
16	что и	7	7
17	во время	6	6
18	то что	8	6
19	еще не	3	6
20	наряду с	5	6
21	того чтобы	3	6
22	потому что	3	6
23	и здесь	5	6
24	в то	3	6
25	о том	2	6
26	таким образом	21	6
27	с его	2	5
28	с тем	2	5
29	независимо от	3	5
30	в которой	3	5
31	к этому	3	5
32	что он	4	5
33	а затем	4	5
34	в качестве	5	5
35	один из	5	5
36	с этим	11	5
37	для того	2	5
38	действующих лиц	11	5
39	не менее	5	4
40	в частности	2	4
41	в этих	13	4
42	тому что	4	4
43	прежде всего	9	4
44	сразу же	2	4
45	как мы	6	4
46	же в	2	4
47	как и	3	4
48	в целом	3	4
49	как будто	2	4
50	хотя и	3	4
51	все же	7	4
52	не по	2	4
53	и для	2	4
54	в в	2	4
55	можно было	2	4
56	точки зрения	2	4
57	в начале	3	4
58	только в	2	4
59	так как	16	4
60	как это	3	4
61	его в	2	4
62	между тем	5	4
63	это было	3	4
64	в образе	4	3
65	по всему	2	3
66	вопрос о	7	3
67	то время	3	3
68	в поле	4	3
69	в тех	6	3
70	но если	7	3
71	что его	2	3
72	отношению к	4	3
73	но все	3	3
74	связи с	10	3
75	но не	4	3
76	во всех	4	3
77	для нас	2	3
78	никто не	3	3
79	из которых	3	3
80	например в	2	3
81	в обоих	2	3
82	не имеет	2	3
83	и их	2	3
84	даже не	3	3
85	по отношению	4	3
86	в связи	9	3
87	того как	2	3
88	то же	7	3
89	как в	3	3
90	к нему	3	3
91	друг друга	3	3
92	а в	7	3
93	или в	4	3
94	тем что	4	3
95	не может	14	3
96	в этой	2	3
97	могла бы	4	3
98	из дому	2	3
99	тех же	4	3
100	но в	2	3
101	мы можем	2	3
102	ни было	2	2
103	если в	5	2
104	и другие	6	2
105	обоих случаях	2	2
106	и есть	2	2
107	однако в	2	2
108	в нашем	3	2
109	не всегда	9	2
110	то ни	3	2
111	в какой	3	2
112	так называемых	2	2
113	с другой	8	2
114	это не	6	2
115	с собой	3	2
116	вовсе не	4	2
117	то это	3	2
118	и к	4	2
119	об этом	4	2
120	не в	3	2
121	из его	2	2
122	одна из	4	2
123	на этом	3	2
124	бы то	3	2
125	по своему	2	2
126	а на	3	2
127	все известные	2	2
128	нет необходимости	6	2
129	или на	3	2
130	вслед за	5	2
131	ни одна	4	2
132	в жены	2	2
133	от того	3	2
134	он не	3	2
135	как бы	3	2
136	же можно	2	2
137	всяком случае	2	2
138	чем это	2	2
139	время как	3	2
140	№ и	2	2
141	не является	3	2
142	хотя бы	4	2
143	и т	41	2
144	сказать о	2	2
145	и за	2	2
146	со стороны	3	2
147	что она	2	2
148	целый ряд	3	2
149	три года	3	2
150	и что	2	2
151	для этой	3	2
152	в других	3	2
153	мы не	8	2
154	на пути	4	2
155	во всяком	2	2
156	и ее	3	2
157	говорить о	3	2
158	в один	3	2
159	в первом	3	2
160	мы имеем	9	2
