N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	40
2	то есть	46	18
3	и его	16	17
4	прежде всего	13	16
5	в романе	4	15
6	в этом	15	15
7	не только	9	13
8	и не	42	13
9	в его	43	13
10	что в	7	12
11	вовсе не	2	12
12	как и	7	11
13	но и	9	11
14	таким образом	10	10
15	как мы	7	10
16	в них	5	9
17	и все	3	9
18	может быть	26	9
19	он не	3	9
20	отношение к	10	8
21	в том	8	8
22	все эти	5	8
23	и с	17	8
24	и на	3	8
25	но в	4	8
26	в своем	5	7
27	и др	8	7
28	то же	5	7
29	культуры и	3	7
30	в виду	4	7
31	в этих	2	6
32	к этому	2	6
33	же время	3	6
34	в самом	7	6
35	во всех	11	6
36	в своей	7	6
37	связь с	3	6
38	и других	2	6
39	связи с	2	6
40	в то	4	6
41	связаны с	2	5
42	со всеми	3	5
43	в нем	15	5
44	то что	8	5
45	в связи	2	5
46	не было	2	5
47	а не	5	5
48	и для	11	5
49	в основе	5	5
50	в своих	2	5
51	в особенности	2	5
52	в нашем	4	4
53	и во	2	4
54	у нас	2	4
55	том что	3	4
56	смысле слова	2	4
57	здесь в	2	4
58	было бы	8	4
59	в ней	4	4
60	и потому	4	4
61	ни в	11	4
62	в мире	3	4
63	в культуре	2	4
64	в их	10	4
65	все это	3	4
66	о том	4	4
67	и о	5	4
68	в данном	4	4
69	того чтобы	2	4
70	особенно в	2	4
71	и даже	3	4
72	также и	3	4
73	и здесь	2	4
74	в истории	2	4
75	в области	11	4
76	с его	2	3
77	если бы	3	3
78	в частности	2	3
79	и от	3	3
80	для понимания	2	3
81	и к	3	3
82	в ее	4	3
83	но это	3	3
84	в начале	2	3
85	одна из	2	3
86	кроме того	3	3
87	еще не	7	3
88	и есть	2	3
89	как бы	22	3
90	в таких	2	3
91	правильного понимания	2	3
92	и наконец	6	3
93	что и	2	3
94	другими словами	2	3
95	так и	5	3
96	как в	4	3
97	и прежде	5	3
98	по отношению	21	3
99	не может	27	3
100	а в	6	3
101	на самом	4	3
102	эти моменты	2	3
103	там где	6	3
104	самом деле	6	3
105	слово в	2	3
106	в значительной	2	3
107	для того	2	3
108	между ними	4	3
109	и как	8	3
110	можно было	4	3
111	нашем примере	2	3
112	сказать что	4	3
113	в более	4	3
114	между тем	7	3
115	тем что	2	3
116	при этом	5	3
117	нуждается в	2	3
118	в отличие	5	3
119	они не	3	3
120	в себе	4	3
121	в другом	2	3
122	во всем	2	3
123	только в	13	3
124	здесь не	4	3
125	отличие от	5	3
126	в других	4	3
127	слова в	7	2
128	не менее	4	2
129	характерно для	2	2
130	поэтому в	2	2
131	связь и	2	2
132	хотя бы	4	2
133	с другой	7	2
134	это не	5	2
135	но здесь	3	2
136	что он	2	2
137	или иной	2	2
138	можно сказать	2	2
139	как его	3	2
140	все же	6	2
141	основе своей	3	2
142	в дальнейшем	3	2
143	на этом	2	2
144	но не	12	2
145	все что	3	2
146	мы увидим	3	2
147	конечно не	5	2
148	из важнейших	3	2
149	и другие	2	2
150	например в	3	2
151	к нему	10	2
152	том же	2	2
153	той или	2	2
154	в котором	2	2
155	здесь нет	2	2
156	слова и	3	2
157	отношению к	19	2
158	дело в	2	2
159	в целом	3	2
160	не к	6	2
161	в корне	2	2
162	данном случае	4	2
163	в форме	4	2
164	как нечто	3	2
165	в нашей	2	2
166	этом отношении	2	2
167	на них	3	2
168	с помощью	7	2
169	представляется нам	2	2
170	здесь мы	2	2
171	лишь в	2	2
172	должны быть	4	2
173	и у	2	2
174	форму и	2	2
175	рядом с	5	2
176	на основе	6	2
177	одной из	3	2
178	материал и	2	2
179	точки зрения	8	2
180	и ее	2	2
181	но как	2	2
182	все то	3	2
183	целом в	2	2
184	далеко не	5	2
185	и это	3	2
186	но конечно	4	2
187	в плане	7	2
