N	2gram	Nazirov_Vr_1	Psycholo
1	то что	7	44
2	и в	8	33
3	в этом	8	28
4	как бы	4	25
5	и что	8	25
6	может быть	4	22
7	том что	3	22
8	что в	7	21
9	в том	3	21
10	о том	4	20
11	что он	4	20
12	таким образом	2	13
13	и не	5	13
14	так же	4	13
15	все это	4	13
16	и все	7	12
17	он не	3	11
18	на то	3	10
19	не может	2	10
20	в его	3	10
21	в этой	2	9
22	как раз	2	9
23	то же	5	9
24	в конце	3	8
25	вместе с	2	8
26	в своем	3	7
27	для нас	4	7
28	в нем	6	7
29	раз в	3	7
30	не только	9	7
31	это не	4	6
32	в ней	4	6
33	после этого	2	6
34	но он	3	6
35	точки зрения	2	6
36	во время	2	6
37	у него	5	6
38	в себе	2	6
39	никогда не	2	5
40	и как	3	5
41	целый ряд	4	5
42	с ним	4	5
43	как и	6	5
44	и его	3	5
45	все же	6	5
46	и это	2	5
47	я не	3	4
48	что у	3	4
49	это в	2	4
50	и уже	3	4
51	из них	2	4
52	а в	2	4
53	при помощи	2	4
54	к этому	3	4
55	об этом	5	4
56	одна из	2	4
57	и о	3	4
58	о нем	6	4
59	в своей	2	4
60	с точки	2	4
61	же как	2	3
62	в мире	2	3
63	но и	7	3
64	не было	5	3
65	в своих	4	3
66	их в	2	3
67	в то	5	3
68	его в	3	3
69	речь идет	3	3
70	в дневнике	4	3
71	и он	2	3
72	тем что	3	3
73	эти слова	3	3
74	далеко не	3	3
75	в той	2	3
76	место в	2	2
77	уже в	4	2
78	его и	2	2
79	столь же	2	2
80	мы знаем	2	2
81	же время	5	2
82	в нашей	2	2
83	при этом	4	2
84	в виду	4	2
85	в котором	6	2
86	этот рассказ	2	2
87	и с	6	2
88	но в	6	2
89	с его	3	2
90	в них	2	2
91	чтобы он	3	2
92	в это	2	2
93	а с	2	2
94	и то	2	2
95	и ее	2	2
96	связи с	3	2
97	в русской	3	2
