N	3gram	Vygotskiy__6	Marksizm
1	с точки зрения	10	20
2	не может быть	2	13
3	и не может	2	9
4	до сих пор	3	8
5	в связи с	2	7
6	и того же	4	5
7	одного и того	4	5
8	с другой стороны	2	5
9	с самого начала	7	4
10	то же самое	6	3
11	на этот вопрос	2	3
12	можно сказать что	6	3
13	в этом отношении	3	3
14	в первом случае	3	3
15	в том что	19	3
16	в этом случае	2	3
17	для того чтобы	8	3
18	и той же	3	2
19	не могут быть	2	2
20	так же как	6	2
21	от того что	6	2
22	можно было бы	5	2
23	в этом смысле	2	2
24	по отношению к	10	2
25	в этом вопросе	2	2
26	одной и той	3	2
