N	2gram	Vinokur_St_3	SlovoVZh
1	не может	7	16
2	точки зрения	7	14
3	может быть	19	14
4	и его	3	13
5	как бы	6	13
6	таким образом	10	12
7	и в	25	12
8	и не	10	10
9	если бы	4	9
10	так как	3	9
11	прежде всего	10	8
12	сказать что	4	7
13	все время	2	6
14	в том	20	6
15	только в	6	6
16	в ней	4	6
17	и др	4	5
18	в жизни	4	5
19	то что	12	5
20	никогда не	2	5
21	а не	5	5
22	можно сказать	4	5
23	то же	5	5
24	как и	4	5
25	том что	15	5
26	как в	6	5
27	что мы	3	5
28	но в	5	5
29	в виду	2	5
30	и к	4	4
31	все же	4	4
32	отношение к	4	4
33	к материалу	2	4
34	так и	5	4
35	от того	2	4
36	с другой	5	4
37	уже не	3	4
38	что не	2	4
39	не в	6	4
40	в этом	24	4
41	и на	6	4
42	в самом	2	4
43	к нему	4	4
44	не только	12	4
45	в котором	5	3
46	в них	5	3
47	точка зрения	4	3
48	и более	3	3
49	находит свое	3	3
50	не менее	2	3
51	в своей	4	3
52	в некоторых	3	3
53	сих пор	2	3
54	все это	8	3
55	и по	2	3
56	все эти	3	3
57	в такой	2	3
58	слово в	2	3
59	но и	9	3
60	произведения и	2	3
61	и пр	13	3
62	того что	5	3
63	и наконец	3	3
64	тем не	2	3
65	ни в	5	3
66	самом деле	2	3
67	мы не	2	3
68	и с	4	3
69	о том	8	3
70	в каком	4	3
71	и ее	2	3
72	для него	3	3
73	до сих	2	3
74	еще не	2	3
75	в поэзии	2	3
76	и для	4	3
77	из этого	4	3
78	в творчестве	3	3
79	между тем	6	3
80	место в	6	2
81	уже в	3	2
82	с этой	3	2
83	с его	3	2
84	независимо от	5	2
85	но все	2	2
86	что в	19	2
87	вместе с	2	2
88	себя и	2	2
89	в этих	11	2
90	все они	3	2
91	в форме	2	2
92	в отношении	2	2
93	точку зрения	2	2
94	в какой	3	2
95	другой стороны	5	2
96	это не	7	2
97	мы имеем	5	2
98	в особенности	4	2
99	тогда когда	2	2
100	формой и	2	2
101	этих двух	2	2
102	с одной	2	2
103	была бы	4	2
104	к этому	3	2
105	связь с	4	2
106	его к	2	2
107	и что	3	2
108	не так	3	2
109	с точки	4	2
110	и здесь	3	2
111	его как	3	2
112	как на	6	2
113	но это	4	2
114	такой же	2	2
115	тем как	2	2
116	но не	2	2
117	могут быть	2	2
118	имеем в	2	2
119	кроме того	3	2
120	до конца	3	2
121	в то	7	2
122	одной стороны	3	2
123	ни на	2	2
124	можно найти	2	2
125	на это	2	2
126	к слову	2	2
127	подчеркнуть что	3	2
128	в чем	4	2
129	ничего не	4	2
130	он не	5	2
131	в его	12	2
132	относится к	4	2
