N	2gram	Berdyaev_O_1	KulturaY
1	т е	4	38
2	в том	5	30
3	и в	19	24
4	потому что	9	23
5	том что	2	21
6	что в	4	17
7	того чтобы	4	17
8	для того	3	16
9	было бы	3	15
10	в этом	12	14
11	может быть	11	13
12	все же	2	12
13	в его	7	12
14	и не	13	12
15	не в	11	11
16	в самом	5	10
17	не только	11	10
18	хотя бы	3	10
19	то что	5	9
20	прежде всего	9	9
21	того что	3	9
22	о том	3	9
23	так как	2	9
24	а не	11	8
25	тем что	2	8
26	как бы	3	7
27	не может	4	7
28	это не	3	7
29	так и	2	7
30	что он	3	6
31	но и	13	6
32	что же	2	6
33	все это	6	6
34	все эти	4	6
35	в которой	2	6
36	с тем	2	5
37	еще не	3	5
38	что не	4	5
39	а в	5	5
40	и его	4	5
41	с ним	3	5
42	и с	2	5
43	учение о	2	4
44	с его	4	4
45	в этих	3	4
46	и потому	2	4
47	в нем	10	4
48	что они	2	4
49	что и	2	4
50	не есть	2	4
51	в самой	9	4
52	так что	2	4
53	и на	2	4
54	уже в	2	3
55	в этой	5	3
56	в истории	2	3
57	когда он	3	3
58	в своем	2	3
59	не было	9	3
60	только и	4	3
61	потребность в	2	3
62	есть лишь	4	3
63	и он	8	3
64	должно быть	2	3
65	и то	2	3
66	хотя и	2	3
67	даже и	2	3
68	в себе	3	3
69	любовь к	2	2
70	не все	2	2
71	и есть	3	2
72	можно ли	2	2
73	никогда не	9	2
74	и все	10	2
75	что все	2	2
76	не могут	3	2
77	вопрос о	10	2
78	по себе	2	2
79	как и	6	2
80	в своей	2	2
81	подойти к	2	2
82	и мысли	4	2
83	ее в	2	2
84	и против	2	2
85	он не	7	2
86	и для	2	2
87	лишь в	7	2
88	не имеет	2	2
89	одно из	2	2
90	до конца	7	2
91	ничего не	2	2
92	но в	2	2
93	это было	3	2
