N	2gram	Bakhtin_Pr_2	Myshleni
1	точки зрения	19	26
2	таким образом	11	26
3	в том	8	24
4	и в	45	23
5	том что	7	21
6	в целом	5	20
7	с точки	9	18
8	то что	5	17
9	в этом	20	17
10	так же	5	16
11	не только	16	16
12	того что	3	15
13	что в	6	14
14	может быть	18	14
15	но и	15	14
16	как и	14	14
17	в его	22	14
18	не может	24	12
19	в развитии	2	12
20	как бы	15	11
21	сказать что	5	11
22	прежде всего	11	10
23	не является	3	9
24	и не	42	9
25	и с	7	9
26	и на	7	8
27	в основе	2	8
28	в процессе	2	8
29	то же	5	8
30	нашей работы	2	8
31	в самом	13	7
32	по отношению	8	7
33	в то	5	7
34	так как	5	7
35	что он	7	7
36	отношению к	8	7
37	и ее	7	7
38	все время	3	6
39	же как	4	6
40	от того	2	6
41	все это	5	6
42	именно в	3	6
43	лишь в	2	6
44	потому что	8	6
45	о том	3	6
46	в сущности	7	6
47	по сравнению	2	6
48	мысли и	3	6
49	и его	8	6
50	мы можем	4	6
51	тем что	2	6
52	в себе	5	6
53	только в	9	6
54	перед нами	4	5
55	можно сказать	2	5
56	и как	2	5
57	на то	2	5
58	по себе	8	5
59	для этого	3	5
60	что для	2	5
61	в своих	4	5
62	мы должны	4	5
63	бы в	5	5
64	если бы	2	5
65	но в	6	5
66	и более	2	5
67	сравнению с	2	5
68	и что	2	5
69	он не	9	5
70	так и	3	5
71	как мы	8	5
72	тем самым	2	5
73	связан с	2	5
74	и т.д	3	5
75	к действительности	2	5
76	но не	6	4
77	что все	3	4
78	со всей	2	4
79	только что	2	4
80	не в	8	4
81	при этом	2	4
82	друг с	2	4
83	что она	4	4
84	в котором	7	4
85	все эти	4	4
86	которую мы	2	4
87	этом отношении	2	4
88	в результате	3	4
89	их в	7	4
90	с его	8	4
91	в одном	6	4
92	к этому	4	4
93	и к	2	4
94	в чем	2	4
95	было бы	4	4
96	для себя	3	4
97	в своей	6	4
98	сих пор	2	4
99	как в	4	4
100	как раз	6	4
101	а с	3	4
102	хотя бы	5	4
103	мы видим	2	4
104	ни в	2	4
105	как на	2	4
106	с другом	2	4
107	этого слова	2	4
108	до сих	2	4
109	только для	2	3
110	уже в	4	3
111	я не	6	3
112	в своем	5	3
113	и от	3	3
114	мы и	3	3
115	что они	3	3
116	и следовательно	7	3
117	в сфере	2	3
118	в их	4	3
119	отношения к	2	3
120	и других	3	3
121	всегда и	2	3
122	вовсе не	7	3
123	в одной	5	3
124	этот вопрос	4	3
125	как он	4	3
126	сознания и	6	3
127	смысле этого	2	3
128	превращается в	4	3
129	об этом	3	3
130	во всех	4	3
131	друг от	2	3
132	она не	5	3
133	от друга	2	3
134	человека и	2	3
135	все же	4	3
136	если не	2	3
137	самом деле	4	3
138	а не	10	3
139	из которых	2	3
140	ко всем	2	3
141	можно было	2	3
142	могут быть	4	3
143	в которой	2	3
144	в области	2	3
145	ничего не	3	3
146	за собой	2	2
147	никогда не	17	2
148	в нашем	2	2
149	точку зрения	5	2
150	что у	4	2
151	целом ряде	2	2
152	в конце	4	2
153	представление о	2	2
154	по самой	2	2
155	от них	2	2
156	в смысле	2	2
157	в зависимости	3	2
158	но все	4	2
159	же время	3	2
160	для него	9	2
161	хотя и	2	2
162	не имеет	3	2
163	про себя	3	2
164	один из	2	2
165	мы видели	3	2
166	жизни и	15	2
167	и до	4	2
168	нигде не	6	2
169	мысль не	3	2
170	и вот	2	2
171	и той	3	2
172	и даже	3	2
173	должно быть	4	2
174	бы и	3	2
175	а в	3	2
176	сам автор	4	2
177	единство сознания	2	2
178	в словах	2	2
179	в этих	4	2
180	человека с	2	2
181	мысль как	2	2
182	как это	2	2
183	он может	2	2
184	в них	4	2
185	лежит в	2	2
186	он как	3	2
187	идет о	2	2
188	в ее	3	2
189	зависимости от	3	2
190	на пороге	4	2
191	бы он	2	2
192	за пределы	5	2
193	и потому	6	2
194	даже в	6	2
195	ее в	2	2
196	на него	2	2
197	нами в	4	2
198	того как	3	2
199	также не	2	2
200	уже не	6	2
201	и слово	6	2
202	и пр	2	2
203	между ними	4	2
204	вот почему	3	2
205	с другими	7	2
206	работы мы	2	2
207	показать что	2	2
208	что если	3	2
209	что эта	2	2
210	к другу	3	2
211	там где	6	2
