N	2gram	Ircho_Kome_2	Mirosoze
1	может быть	11	30
2	не только	7	29
3	и в	26	28
4	не может	3	28
5	но и	10	25
6	он не	2	24
7	в этом	10	20
8	не было	3	18
9	у него	4	17
10	не в	2	16
11	потому что	6	16
12	в ней	3	15
13	в своей	3	15
14	и есть	2	14
15	он был	2	14
16	в нем	6	13
17	человека в	3	13
18	и это	2	12
19	в самом	4	11
20	и не	14	11
21	что в	9	10
22	в своем	6	10
23	в мире	2	10
24	прежде всего	4	10
25	и все	2	10
26	что он	5	10
27	было бы	8	10
28	с тем	5	9
29	в его	4	9
30	и его	12	9
31	из самых	2	8
32	но не	3	8
33	в котором	3	8
34	в самой	3	7
35	в конце	2	7
36	но в	3	7
37	бог и	2	7
38	к нему	3	7
39	в том	11	6
40	в этой	3	6
41	все это	3	6
42	и на	7	6
43	вместе с	9	6
44	только в	4	6
45	в которой	5	6
46	это не	2	5
47	и я	2	5
48	как и	4	5
49	то что	6	5
50	нет и	2	5
51	уже в	4	4
52	в этих	4	4
53	с этой	3	4
54	отношение к	2	4
55	в их	3	4
56	в середине	4	4
57	а в	3	4
58	в любви	2	4
59	точки зрения	4	4
60	в них	4	4
61	один из	5	4
62	к концу	3	4
63	что и	7	4
64	на пути	2	4
65	тем что	3	4
66	к тому	12	3
67	для нас	3	3
68	но если	3	3
69	и их	3	3
70	не имеет	3	3
71	с этим	5	3
72	и еще	2	3
73	его в	4	3
74	так как	4	3
75	и с	5	3
76	на этом	2	3
77	с его	5	3
78	одно из	2	3
79	с собой	2	3
80	интерес к	3	3
81	в ее	2	3
82	том что	9	3
83	себя в	3	3
84	бы и	2	3
85	хотя бы	2	3
86	за собой	2	2
87	место в	4	2
88	по своему	2	2
89	и от	4	2
90	вопрос о	3	2
91	насилие над	3	2
92	с их	4	2
93	о чем	3	2
94	для того	5	2
95	одним из	2	2
96	на этот	4	2
97	в виду	2	2
98	жизни и	3	2
99	всего в	2	2
100	по отношению	3	2
101	нем не	2	2
102	и что	2	2
103	время как	2	2
104	в начале	4	2
105	в истории	5	2
106	как бы	2	2
107	о том	6	2
108	как он	3	2
109	бы в	2	2
110	если бы	9	2
111	и во	2	2
112	к этому	5	2
113	и жизнь	2	2
114	отношению к	3	2
115	в то	6	2
116	чем в	2	2
117	то время	3	2
118	как будто	4	2
119	до сих	2	2
120	никто не	3	2
121	и к	2	2
122	начинает с	2	2
123	же можно	2	2
124	человеку и	2	2
125	еще в	4	2
126	все же	4	2
127	сих пор	2	2
128	как в	3	2
129	в той	2	2
130	того чтобы	6	2
131	и у	2	2
132	и для	4	2
133	от этого	2	2
134	на протяжении	10	2
