N	2gram	Losev_Prob_3	Freidism
1	таким образом	9	24
2	и не	35	23
3	не может	7	20
4	точки зрения	5	19
5	прежде всего	3	18
6	в этом	17	15
7	в его	9	15
8	мы можем	6	13
9	может быть	28	13
10	и его	5	12
11	как и	10	11
12	как бы	9	11
13	то что	23	11
14	все эти	7	11
15	с точки	2	11
16	и потому	7	10
17	так и	10	10
18	как мы	8	10
19	самом деле	3	10
20	его в	3	10
21	с ним	7	10
22	но в	12	10
23	и в	44	9
24	во всех	2	9
25	что он	9	8
26	еще не	5	8
27	в своей	5	8
28	он не	8	8
29	не только	14	8
30	все это	5	8
31	то же	13	8
32	только в	19	8
33	и все	3	8
34	так как	9	8
35	ни в	8	7
36	во всяком	9	7
37	мы видели	2	7
38	в самом	3	7
39	что же	8	7
40	сказать что	16	7
41	мы уже	4	7
42	всяком случае	6	7
43	никогда не	6	6
44	вовсе не	37	6
45	и ее	3	6
46	для него	3	6
47	за пределы	5	6
48	того что	8	6
49	в ней	5	6
50	совершенно не	4	6
51	хотя бы	3	6
52	и с	9	6
53	и к	6	5
54	он сам	4	5
55	можно сказать	6	5
56	не в	13	5
57	в этой	3	5
58	в чем	4	5
59	для этого	6	5
60	в то	9	5
61	что такое	3	5
62	что в	8	5
63	но и	10	5
64	по мнению	2	5
65	на самом	7	5
66	а в	5	5
67	могут быть	2	5
68	с этим	2	5
69	в каком	4	5
70	мы должны	7	5
71	не менее	10	4
72	но не	3	4
73	в котором	2	4
74	в этих	2	4
75	то ни	6	4
76	если мы	16	4
77	с другими	3	4
78	к тому	3	4
79	об этом	3	4
80	всех этих	2	4
81	смысле слова	8	4
82	при этом	4	4
83	другими словами	6	4
84	и о	5	4
85	от того	2	4
86	как раз	8	4
87	в основе	2	4
88	в нем	9	4
89	все же	6	4
90	и за	2	4
91	данном случае	7	4
92	на основании	2	4
93	не было	5	4
94	мы находим	7	4
95	уже не	7	4
96	и для	2	4
97	совсем не	2	4
98	в которой	2	4
99	мы не	7	4
100	в таком	5	4
101	с их	2	4
102	в данном	9	4
103	этот вопрос	3	4
104	потому что	25	4
105	говорить о	3	4
106	нисколько не	2	3
107	если бы	3	3
108	и есть	5	3
109	тому что	4	3
110	и от	9	3
111	что все	2	3
112	а только	5	3
113	в себе	8	3
114	и как	3	3
115	но это	8	3
116	по своему	2	3
117	случае не	3	3
118	по поводу	2	3
119	она не	3	3
120	и может	2	3
121	было бы	8	3
122	ни о	3	3
123	ни на	3	3
124	нет никакого	4	3
125	с ее	2	3
126	себя в	2	3
127	бы то	4	3
128	только то	2	3
129	жизни и	6	3
130	когда он	2	3
131	вместе с	2	3
132	как в	5	3
133	чем не	3	3
134	и что	7	3
135	на этот	4	3
136	и по	2	3
137	мы имеем	2	3
138	в искусстве	4	3
139	об его	4	3
140	ничего общего	7	3
141	слова и	3	3
142	зрения на	2	3
143	таком случае	4	3
144	не является	11	3
145	есть и	2	2
146	в отношении	2	2
147	уже в	3	2
148	или иное	2	2
149	но все	3	2
150	и другие	3	2
151	что это	3	2
152	это уже	3	2
153	быть и	3	2
154	в нашем	5	2
155	всей его	2	2
156	и ни	3	2
157	для себя	2	2
158	того же	2	2
159	с другой	7	2
160	с которыми	2	2
161	это не	9	2
162	формы и	3	2
163	в конце	5	2
164	своему содержанию	2	2
165	ни об	3	2
166	же самое	9	2
167	только о	3	2
168	таких случаях	2	2
169	ничем не	2	2
170	тем не	10	2
171	для нас	16	2
172	в ее	4	2
173	да и	5	2
174	ни было	3	2
175	это и	7	2
176	том что	12	2
177	самого себя	3	2
178	чем он	2	2
179	а не	18	2
180	в нашей	2	2
181	если его	3	2
182	из них	2	2
183	и всей	2	2
184	же касается	4	2
185	мы говорили	2	2
186	образы и	3	2
187	что мы	8	2
188	но если	6	2
189	в процессе	2	2
190	конце концов	3	2
191	в своем	5	2
192	для нее	2	2
193	и до	2	2
194	являются только	3	2
195	дело не	2	2
196	сих пор	2	2
197	все они	2	2
198	в их	2	2
199	только на	5	2
200	это вовсе	4	2
201	во всей	3	2
202	отличается от	4	2
203	даже если	2	2
204	отношения к	3	2
205	а с	2	2
206	с одной	2	2
207	что оно	2	2
208	из того	3	2
209	в отличие	2	2
210	в заключение	3	2
211	и у	2	2
212	тем же	2	2
213	и даже	14	2
214	и притом	4	2
215	дает нам	2	2
216	так же	5	2
217	как на	2	2
218	отличие от	3	2
219	в таких	3	2
220	и то	14	2
221	здесь в	3	2
222	очень много	3	2
223	то или	3	2
224	чем же	4	2
225	вещи и	7	2
226	что и	9	2
227	и при	2	2
228	но как	4	2
229	в другом	2	2
230	и вообще	8	2
231	жизни но	2	2
232	при помощи	8	2
233	до сих	2	2
234	когда мы	15	2
235	только с	4	2
236	как это	2	2
237	в виду	10	2
238	это было	2	2
