N	3gram	Vinokur_Ku_1	Psycholo
1	и т п	18	15
2	в том что	15	9
3	и т д	14	8
4	на то что	2	8
5	не может быть	3	8
6	в самом деле	7	7
7	о том что	5	7
8	в том чтобы	8	7
9	во всяком случае	5	6
10	заключается в том	2	6
11	с другой стороны	6	5
12	в зависимости от	5	5
13	этой точки зрения	2	5
14	не в том	4	5
15	для того чтобы	15	5
16	только в том	3	3
17	до сих пор	4	3
18	и в самом	2	2
19	так и в	2	2
20	более или менее	3	2
21	с точки зрения	9	2
22	в силу того	2	2
23	в русском языке	4	2
24	тем не менее	4	2
25	а в том	2	2
26	силу того что	2	2
27	в этом отношении	5	2
28	состоит в том	3	2
29	мы увидим что	2	2
30	в том и	2	2
31	вместе с тем	3	2
32	в этом смысле	3	2
33	на самом деле	2	2
