N	2gram	Vygotskiy__2	NovoeSre
1	а не	7	17
2	не может	17	16
3	и в	32	16
4	и не	10	11
5	что в	20	9
6	жизни и	4	8
7	как не	2	8
8	он не	6	8
9	в том	37	8
10	в новой	2	7
11	как и	10	7
12	в этом	13	7
13	может быть	18	7
14	с его	2	6
15	никогда не	9	6
16	не в	8	6
17	но это	2	6
18	ни в	2	6
19	в нем	4	5
20	все это	5	5
21	в жизни	4	5
22	с ее	3	5
23	и к	3	5
24	в ней	5	5
25	не только	12	5
26	не менее	8	4
27	то что	21	4
28	в них	2	4
29	это не	2	4
30	и все	4	4
31	не было	2	4
32	не имеет	4	4
33	и для	4	4
34	потому что	21	4
35	по своему	3	4
36	и мы	6	4
37	о том	6	4
38	значит что	3	4
39	но и	10	3
40	не существует	2	3
41	в своей	3	3
42	с другой	3	3
43	во всех	3	3
44	к тому	7	3
45	в ее	2	3
46	в основе	11	3
47	с тем	11	3
48	подобно тому	2	3
49	как в	9	3
50	она не	2	3
51	еще не	2	3
52	тому как	3	3
53	наряду с	4	3
54	сказать что	7	3
55	к ним	2	3
56	не значит	2	3
57	это было	3	3
58	что все	9	2
59	том и	2	2
60	все время	6	2
61	место в	2	2
62	вместе с	2	2
63	так и	3	2
64	что она	16	2
65	для этого	3	2
66	другой стороны	2	2
67	формы и	6	2
68	и от	2	2
69	а в	4	2
70	все эти	7	2
71	думать что	3	2
72	такой же	7	2
73	роль в	2	2
74	того чтобы	14	2
75	зависит от	2	2
76	и даже	5	2
77	хотя бы	3	2
78	но не	2	2
79	так же	18	2
80	по существу	3	2
81	время как	3	2
82	мы не	3	2
83	том что	21	2
84	в смысле	3	2
85	можно было	7	2
86	в русском	2	2
87	же как	4	2
88	и с	4	2
89	и что	22	2
90	переходе от	2	2
91	и заключается	3	2
92	могут быть	4	2
93	с этим	4	2
94	и на	5	2
95	не к	3	2
96	в себе	2	2
97	ли это	2	2
98	в то	5	2
99	как будто	7	2
100	и это	4	2
101	не имеют	2	2
102	когда мы	2	2
103	том чтобы	3	2
104	как это	4	2
105	не могли	3	2
106	но в	3	2
