N	2gram	Trubetskoy_1	Dialekti
1	не есть	2	47
2	и не	8	30
3	может быть	16	20
4	и в	23	19
5	не только	7	19
6	в себе	5	15
7	то что	18	14
8	в том	30	14
9	как бы	10	14
10	так как	7	14
11	потому что	9	14
12	вовсе не	2	13
13	но и	9	12
14	то же	4	12
15	точки зрения	13	12
16	и все	7	12
17	что это	5	10
18	как и	9	10
19	в нем	3	10
20	так и	10	10
21	том что	19	10
22	это не	3	10
23	никогда не	4	9
24	не может	17	9
25	прежде всего	3	8
26	она не	2	8
27	мы уже	4	8
28	с точки	8	8
29	не в	8	8
30	это есть	4	8
31	в этом	12	8
32	и к	5	7
33	совершенно не	3	7
34	что в	8	7
35	только тогда	2	7
36	должно быть	4	7
37	и то	4	7
38	как будто	5	7
39	так что	5	7
40	я не	2	6
41	что он	7	6
42	что они	2	6
43	отнюдь не	2	6
44	в то	6	6
45	но не	2	6
46	конечно не	3	6
47	того что	6	6
48	и может	3	6
49	жизни и	2	6
50	и вообще	3	6
51	не потому	2	6
52	тогда когда	3	6
53	должна быть	5	5
54	с другой	6	5
55	в одну	4	5
56	же время	2	5
57	в силу	7	5
58	по своему	5	5
59	в самом	8	5
60	и потому	3	5
61	что и	7	5
62	и это	3	5
63	в одно	2	5
64	и что	8	5
65	только что	3	5
66	жизнь и	3	5
67	но как	2	5
68	говорить о	2	5
69	только в	6	5
70	о том	7	5
71	не то	3	5
72	и с	5	5
73	в виду	2	5
74	может не	3	4
75	независимо от	2	4
76	в своем	10	4
77	ясно что	8	4
78	та же	3	4
79	не могут	4	4
80	все же	13	4
81	при этом	9	4
82	то время	2	4
83	еще не	5	4
84	и если	6	4
85	к нему	2	4
86	он не	3	4
87	хотя бы	4	4
88	связи с	4	4
89	только то	2	4
90	быть и	5	4
91	от того	3	4
92	все это	11	4
93	другой стороны	5	4
94	в связи	3	4
95	и только	2	4
96	таким образом	31	4
97	что оно	3	4
98	заключается в	2	4
99	самом деле	12	4
100	и по	3	4
101	а в	3	4
102	в таком	4	4
103	одно из	3	4
104	в другом	2	4
105	по своей	7	4
106	по одному	3	4
107	с ним	6	4
108	это конечно	2	4
109	не менее	7	3
110	и уже	2	3
111	всех этих	4	3
112	и более	2	3
113	же как	3	3
114	можно ли	2	3
115	в этих	3	3
116	и от	5	3
117	вопрос о	3	3
118	как мы	2	3
119	в этой	6	3
120	что если	3	3
121	сейчас же	3	3
122	было бы	3	3
123	и из	2	3
124	даже в	3	3
125	тех пор	2	3
126	из них	5	3
127	и их	5	3
128	чтобы все	3	3
129	с этим	11	3
130	в разных	3	3
131	не было	2	3
132	во внимание	2	3
133	должны быть	3	3
134	принять во	2	3
135	между собою	5	3
136	в данном	3	3
137	они не	2	3
138	и где	2	3
139	о котором	7	3
140	в один	2	3
141	его в	5	3
142	все его	2	3
143	же не	3	3
144	что же	2	2
145	это может	2	2
146	уже и	3	2
147	только не	2	2
148	в частности	2	2
149	не очень	2	2
150	следует что	2	2
151	что у	2	2
152	в состоянии	4	2
153	и говорить	3	2
154	в конце	4	2
155	на самом	7	2
156	именно в	5	2
157	в тех	3	2
158	если мы	4	2
159	большею частью	5	2
160	этого последнего	2	2
161	к тому	8	2
162	тем не	4	2
163	но все	5	2
164	однако это	2	2
165	так чтобы	2	2
166	в истории	3	2
167	не будет	5	2
168	с тем	2	2
169	или менее	7	2
170	очевидно что	3	2
171	как известно	3	2
172	что с	5	2
173	различия между	3	2
174	до сих	8	2
175	в общем	6	2
176	в сущности	2	2
177	несмотря на	6	2
178	в ней	3	2
179	всяком случае	2	2
180	так или	5	2
181	сих пор	8	2
182	все в	2	2
183	в мире	6	2
184	только одно	2	2
185	на все	5	2
186	как не	2	2
187	во всех	10	2
188	на него	2	2
189	данном случае	3	2
190	в их	4	2
191	тому что	2	2
192	так же	8	2
193	с ее	2	2
194	с одной	3	2
195	культуры и	9	2
196	а потому	5	2
197	более или	7	2
198	тем же	2	2
199	или иначе	5	2
200	с ними	2	2
201	широком смысле	2	2
202	в своих	2	2
203	также и	2	2
204	в результате	9	2
205	их в	2	2
206	и при	6	2
207	между тем	12	2
208	в виде	4	2
209	что мы	4	2
210	мы должны	4	2
211	во всяком	2	2
212	что эти	2	2
213	все эти	19	2
214	есть в	2	2
215	в которой	5	2
216	в области	4	2
217	что по	3	2
218	которые не	3	2
219	но в	4	2
220	в жизни	3	2
221	вместе с	6	2
222	на этом	2	2
