N	2gram	Berdyaev_N_1	Marksizm
1	может быть	7	26
2	и не	11	26
3	не может	16	24
4	и в	16	19
5	в этом	7	16
6	прежде всего	4	13
7	как и	7	12
8	и пр	3	12
9	так и	2	11
10	и для	4	11
11	в нем	5	10
12	и т.п	2	10
13	лишь в	6	9
14	но и	3	8
15	не только	5	8
16	то что	4	8
17	все эти	2	7
18	так же	2	7
19	но в	2	7
20	в ее	3	7
21	во всех	3	7
22	бытия в	2	7
23	а не	17	7
24	в смысле	2	6
25	в том	8	6
26	другой стороны	2	6
27	мы не	2	6
28	с другой	3	5
29	не в	6	5
30	конечно не	3	5
31	и потому	4	5
32	и все	4	5
33	за пределы	3	5
34	того чтобы	2	5
35	хотя бы	2	5
36	что в	9	4
37	не менее	4	4
38	вопрос о	3	4
39	в ней	5	4
40	а в	2	4
41	и на	2	4
42	сказать что	3	4
43	жизни в	3	4
44	с этим	2	4
45	еще не	3	4
46	нет и	2	4
47	не будет	7	4
48	как в	3	4
49	мысли и	2	4
50	место в	2	3
51	и есть	10	3
52	в нашу	2	3
53	формы и	2	3
54	и от	2	3
55	высшей степени	6	3
56	не имеют	2	3
57	все это	5	3
58	не было	4	3
59	не имеет	4	3
60	и формы	2	3
61	xix века	5	3
62	в то	2	3
63	в высшей	6	3
64	не существует	3	3
65	и к	5	3
66	том что	2	3
67	он не	8	3
68	не есть	3	3
69	в своей	3	3
70	в истории	3	3
71	это и	2	3
72	и это	2	3
73	зависит от	2	2
74	же как	2	2
75	должна быть	3	2
76	никогда не	6	2
77	что все	2	2
78	ни в	6	2
79	связаны с	2	2
80	в новое	3	2
81	но для	2	2
82	эти формы	3	2
83	с ее	5	2
84	жизни и	8	2
85	со всех	4	2
86	и даже	2	2
87	должно быть	4	2
88	можно было	2	2
89	о том	4	2
90	этом смысле	2	2
91	мысли в	2	2
92	и с	2	2
93	в основе	3	2
94	ни к	2	2
95	нового времени	12	2
96	быть в	2	2
97	в себе	2	2
98	одна из	2	2
99	она не	3	2
100	есть лишь	4	2
101	к тому	3	2
102	нем нет	2	2
103	всех сторон	4	2
104	культуры и	7	2
105	борьба и	2	2
106	что такое	3	2
107	мира и	2	2
108	связана с	2	2
109	могут быть	2	2
110	не знает	6	2
111	общества и	2	2
