N	2gram	Propp_Isto_2	Vladivir
1	и в	15	40
2	то что	12	28
3	и не	11	25
4	не только	18	25
5	у него	4	24
6	но и	14	18
7	в том	6	18
8	том что	7	18
9	что в	12	17
10	в этом	11	16
11	так что	6	14
12	в его	6	14
13	не может	5	14
14	только в	6	13
15	а именно	3	12
16	сказать что	2	12
17	никогда не	15	11
18	таким образом	7	11
19	потому что	9	11
20	о том	3	11
21	прежде всего	5	10
22	ни в	2	10
23	то это	6	10
24	не просто	2	10
25	и его	3	10
26	что это	6	9
27	и с	4	9
28	и то	2	9
29	под названием	2	9
30	в себе	4	9
31	в этой	4	8
32	может быть	17	8
33	так же	13	8
34	и что	6	8
35	он не	8	8
36	а также	2	8
37	а не	5	8
38	к тому	5	7
39	и если	2	7
40	а в	12	7
41	так как	14	7
42	с тем	9	7
43	того что	3	7
44	что и	6	7
45	вместе с	7	7
46	как и	2	7
47	и здесь	9	6
48	да и	2	6
49	кроме того	2	6
50	не мог	3	6
51	и на	4	6
52	об этом	11	6
53	так и	5	6
54	хотя бы	2	6
55	но это	4	6
56	и это	3	6
57	с другой	2	5
58	для нас	4	5
59	тому же	2	5
60	но если	3	5
61	не было	2	5
62	все эти	4	5
63	в ней	4	5
64	тут же	2	5
65	в одном	5	5
66	что он	24	5
67	мы уже	6	5
68	между прочим	3	5
69	можно было	5	5
70	тем что	4	5
71	ничего не	7	5
72	точно так	6	4
73	вопрос о	4	4
74	на то	3	4
75	такой же	2	4
76	в глаза	2	4
77	мог бы	3	4
78	в котором	5	4
79	мы должны	4	4
80	при помощи	2	4
81	как это	3	4
82	по существу	2	4
83	но не	2	4
84	есть и	2	4
85	здесь в	2	4
86	еще не	9	4
87	было бы	5	4
88	в основном	2	4
89	то же	10	4
90	а с	2	4
91	все же	9	4
92	но в	6	4
93	перед нами	2	3
94	уже в	2	3
95	я не	2	3
96	же как	5	3
97	в качестве	3	3
98	это не	2	3
99	из этих	3	3
100	мы знаем	11	3
101	но все	5	3
102	является не	2	3
103	одной стороны	3	3
104	при этом	4	3
105	как бы	6	3
106	в виду	2	3
107	был бы	2	3
108	в нем	7	3
109	к нему	5	3
110	мы видели	2	3
111	в связи	5	3
112	и только	2	3
113	с одной	4	3
114	именно в	2	3
115	не столько	2	3
116	что здесь	4	3
117	мы имеем	15	3
118	этого не	5	3
119	нисколько не	2	3
120	не все	2	3
121	ее в	2	3
122	на самом	2	3
123	находится в	2	3
124	того чтобы	2	3
125	не в	7	3
126	и для	2	3
127	что этот	3	3
128	здесь не	2	3
129	в этих	11	2
130	и вместе	2	2
131	он был	3	2
132	интересно что	2	2
133	в нашей	2	2
134	должен был	3	2
135	которые были	2	2
136	и наконец	5	2
137	же и	3	2
138	в каких	3	2
139	здесь нет	2	2
140	что она	5	2
141	в их	3	2
142	другой стороны	2	2
143	в разных	2	2
144	и по	2	2
145	и вполне	2	2
146	можно найти	5	2
147	и так	2	2
148	что мы	3	2
149	его в	10	2
150	нет ничего	2	2
151	иметь в	2	2
152	то не	2	2
153	к этой	4	2
154	только с	2	2
155	и более	2	2
156	знаем что	12	2
157	с этим	5	2
158	в жизни	2	2
159	в силу	2	2
160	а то	2	2
161	она не	5	2
162	из них	2	2
163	одной из	4	2
164	наряду с	6	2
165	в сущности	2	2
166	выше мы	3	2
167	на него	5	2
168	оказывается что	2	2
169	но с	2	2
170	тем самым	2	2
171	заметить что	2	2
172	еще до	2	2
173	роль в	3	2
174	мы не	3	2
175	в другом	9	2
176	связи с	8	2
177	что эта	2	2
178	в которой	2	2
