N	2gram	Berdyaev_V_1	Psycholo
1	и в	16	38
2	то что	9	35
3	в том	3	25
4	что в	3	20
5	и что	3	18
6	в ней	4	15
7	том что	2	14
8	как бы	5	14
9	и т	2	14
10	потому что	4	14
11	и мы	3	13
12	в этом	4	13
13	не только	2	12
14	не в	3	12
15	что он	4	11
16	и не	20	10
17	и все	4	10
18	того чтобы	2	9
19	с тем	2	8
20	для нас	2	8
21	как и	4	8
22	и то	2	8
23	и это	2	8
24	а не	7	7
25	а в	2	7
26	между тем	2	7
27	к тому	3	6
28	один из	2	6
29	в котором	4	6
30	не имеет	3	6
31	тому что	3	6
32	так как	9	6
33	к чему	3	6
34	должна быть	3	5
35	в своей	3	5
36	но и	5	5
37	мы не	2	5
38	в его	4	5
39	никогда не	3	4
40	что они	7	4
41	и для	3	4
42	конечно не	2	4
43	во всех	3	4
44	не могли	2	4
45	в нем	4	4
46	что и	3	4
47	ее в	2	4
48	т д	2	4
49	все эти	3	4
50	того что	5	4
51	когда в	2	4
52	только в	2	4
53	одна из	2	4
54	в них	3	3
55	что все	4	3
56	ни в	3	3
57	но это	3	3
58	тот же	3	3
59	не к	2	3
60	все это	5	3
61	мы хотим	4	3
62	отвращение к	3	3
63	что не	4	3
64	не так	2	3
65	я говорю	2	3
66	тем что	2	3
67	но в	3	3
68	не могут	2	2
69	в этих	3	2
70	хотя бы	3	2
71	и во	2	2
72	и я	4	2
73	во всяком	2	2
74	уже не	2	2
75	для него	2	2
76	под этим	2	2
77	но мы	2	2
78	то это	3	2
79	а с	2	2
80	материалом для	2	2
81	в конце	3	2
82	их в	3	2
83	в истории	8	2
84	его к	2	2
85	мы слышим	2	2
86	с ним	2	2
