N	2gram	Tiupa_Anal_2	Mirosoze
1	и в	16	46
2	у него	4	22
3	может быть	6	21
4	в этом	18	20
5	никогда не	3	18
6	для него	4	18
7	и не	12	18
8	не только	16	18
9	но и	12	15
10	не может	4	15
11	как и	14	13
12	не есть	2	13
13	а не	10	13
14	прежде всего	3	12
15	и он	2	11
16	но в	6	10
17	он не	2	10
18	в себе	7	10
19	он был	2	9
20	не в	4	9
21	не знает	3	9
22	как бы	10	8
23	в своем	4	8
24	она не	2	8
25	в мире	6	7
26	в этой	9	7
27	в нашем	3	7
28	и к	5	7
29	как в	4	7
30	и для	2	7
31	так же	2	6
32	того что	2	6
33	то же	4	5
34	что все	2	5
35	в самом	6	5
36	один из	2	5
37	что она	2	5
38	те же	2	5
39	в конце	4	5
40	тот кто	2	5
41	и все	3	5
42	к тому	7	5
43	по преимуществу	4	5
44	то что	7	5
45	в своей	2	5
46	и его	4	5
47	в его	2	5
48	что в	2	4
49	все что	2	4
50	не имеет	2	4
51	том что	12	4
52	что и	3	4
53	себя в	2	4
54	так и	15	4
55	т е	2	4
56	уже не	4	4
57	он же	2	3
58	в том	12	3
59	с самим	3	3
60	не мог	3	3
61	не так	4	3
62	и на	6	3
63	сказать что	2	3
64	о том	7	3
65	его в	2	3
66	с ним	2	3
67	если бы	3	3
68	и во	2	3
69	на смену	3	3
70	той же	2	3
71	тем что	3	3
72	он в	4	3
73	только в	4	3
74	есть в	3	3
75	место в	3	2
76	не был	3	2
77	в этих	2	2
78	или иной	3	2
79	но эта	2	2
80	я и	3	2
81	так что	3	2
82	в действительности	3	2
83	и если	3	2
84	со своим	3	2
85	на его	3	2
86	такого рода	2	2
87	хотя и	4	2
88	и за	3	2
89	по отношению	4	2
90	отношения к	2	2
91	лишь в	9	2
92	а в	3	2
93	личности и	2	2
94	не о	2	2
95	точки зрения	4	2
96	не случайно	8	2
97	бы в	3	2
98	между тем	2	2
99	на этом	4	2
100	превращается в	2	2
101	по себе	2	2
102	в сущности	4	2
103	во всех	4	2
104	еще в	2	2
105	отношению к	4	2
106	вместе с	2	2
107	момент его	2	2
108	в центре	3	2
109	еще более	2	2
110	к своему	2	2
111	можно было	3	2
112	тому как	3	2
113	подобно тому	3	2
114	как будто	3	2
115	ничего не	9	2
