N	2gram	Berdyaev_M_2	Marksizm
1	может быть	21	28
2	и в	46	19
3	как бы	8	19
4	и не	18	19
5	не может	15	18
6	точки зрения	2	17
7	то же	5	16
8	и его	5	16
9	в этом	20	15
10	лишь в	2	14
11	в сущности	2	14
12	не только	18	13
13	связи с	2	13
14	в нем	22	11
15	если бы	3	11
16	не в	9	10
17	но и	15	10
18	том что	4	10
19	так и	4	10
20	для него	18	9
21	в основе	2	9
22	как и	13	9
23	это –	22	9
24	на почве	3	9
25	а не	13	9
26	по отношению	2	8
27	с его	4	8
28	отношению к	2	8
29	только в	3	8
30	никогда не	18	7
31	в том	3	7
32	его в	3	7
33	но в	10	7
34	прежде всего	12	7
35	и для	7	7
36	к тому	5	6
37	ни в	3	6
38	в свою	4	6
39	того чтобы	4	6
40	в самом	5	6
41	и все	5	6
42	между тем	2	6
43	во всех	2	6
44	быть и	2	6
45	– не	3	6
46	для того	5	6
47	хотя бы	7	6
48	или иной	2	5
49	смысле слова	3	5
50	к нему	2	5
51	так же	6	5
52	и на	3	5
53	и здесь	6	5
54	к другому	3	5
55	– вот	2	5
56	в его	5	5
57	отношении к	3	5
58	тому что	4	4
59	в отношении	5	4
60	это не	5	4
61	то что	5	4
62	того что	6	4
63	сказать что	3	4
64	бы в	2	4
65	в русском	4	4
66	– в	2	4
67	что он	7	4
68	– это	2	4
69	в себе	10	4
70	ничего не	2	4
71	не существует	3	3
72	в этих	2	3
73	и от	3	3
74	да и	2	3
75	высшей степени	3	3
76	в этой	7	3
77	не имеют	2	3
78	в ней	11	3
79	а в	2	3
80	не имеет	4	3
81	должно быть	2	3
82	не было	11	3
83	о том	3	3
84	в высшей	3	3
85	так как	8	3
86	сознания и	2	3
87	по себе	2	3
88	у нас	11	3
89	связано с	3	3
90	до сих	3	3
91	не к	2	3
92	он не	10	3
93	что и	4	3
94	не есть	13	3
95	не будет	3	3
96	в своей	5	3
97	менее всего	3	3
98	той же	3	3
99	и это	5	3
100	сих пор	3	3
101	место в	2	2
102	связана с	7	2
103	уже в	2	2
104	все время	2	2
105	что в	4	2
106	что это	6	2
107	в нашем	7	2
108	иное как	3	2
109	на все	3	2
110	не знает	9	2
111	вопрос о	6	2
112	он был	9	2
113	нас не	2	2
114	лишь как	3	2
115	что они	3	2
116	до конца	4	2
117	не так	3	2
118	и самого	3	2
119	каждого человека	3	2
120	жизни и	6	2
121	в своем	8	2
122	отношения к	2	2
123	они не	4	2
124	друг друга	12	2
125	но для	2	2
126	в более	2	2
127	и с	3	2
128	от этого	2	2
129	у него	22	2
130	в жизни	4	2
131	– говорит	4	2
132	– то	2	2
133	мы увидим	2	2
134	и потому	7	2
135	должен быть	4	2
136	себя в	4	2
137	нем нет	2	2
138	и тогда	3	2
139	бы не	2	2
140	в атмосфере	2	2
141	еще более	2	2
142	что не	2	2
143	должны быть	4	2
144	и эта	2	2
145	и он	11	2
146	тем что	3	2
147	только с	3	2
148	вместе с	2	2
