N	2gram	Vinokur_Vv_1	Stilisti
1	и в	27	42
2	как бы	5	27
3	не только	21	27
4	прежде всего	8	22
5	и т.д	4	20
6	хотя бы	5	17
7	но и	5	15
8	то же	8	15
9	и не	13	14
10	может быть	24	12
11	не может	13	12
12	точки зрения	7	11
13	как и	5	11
14	и как	9	10
15	что мы	2	10
16	как мы	9	10
17	в этом	34	10
18	при этом	3	9
19	в то	5	9
20	то что	17	9
21	для того	21	9
22	мы не	2	9
23	все же	8	8
24	в ней	3	8
25	таким образом	19	8
26	с тем	6	8
27	что же	3	8
28	в себе	4	8
29	и это	6	8
30	никогда не	3	7
31	же время	5	7
32	и тем	5	7
33	и на	3	7
34	потому что	14	7
35	так как	13	7
36	было бы	5	7
37	а не	3	7
38	того чтобы	21	7
39	и его	5	7
40	мы можем	2	7
41	только в	13	7
42	ничего не	2	7
43	не в	8	6
44	в этой	3	6
45	в форме	2	6
46	язык и	3	6
47	но ведь	4	6
48	в конце	3	6
49	когда мы	2	6
50	в нем	13	6
51	во всех	2	6
52	или как	3	6
53	в области	4	6
54	уже в	5	5
55	независимо от	3	5
56	тому что	2	5
57	и той	2	5
58	мы видели	2	5
59	а в	5	5
60	и с	2	5
61	же самое	2	5
62	как это	5	5
63	в его	10	5
64	вместе с	6	5
65	в той	7	5
66	с точки	2	5
67	той же	4	5
68	что это	3	4
69	и без	2	4
70	само собой	2	4
71	мы называем	2	4
72	в каждом	4	4
73	не просто	4	4
74	что именно	2	4
75	можно сказать	3	4
76	к тому	4	4
77	но все	3	4
78	в качестве	7	4
79	в самом	12	4
80	один из	6	4
81	все это	6	4
82	языка и	12	4
83	того что	12	4
84	так же	3	4
85	о том	15	4
86	его в	6	4
87	но в	10	4
88	не существует	2	4
89	если бы	2	4
90	не что	4	4
91	у нас	2	4
92	себя в	2	4
93	уже не	5	4
94	самом деле	6	4
95	можно было	7	4
96	и то	5	4
97	в разных	5	3
98	до того	2	3
99	это не	8	3
100	этом случае	6	3
101	но что	3	3
102	не мог	2	3
103	хотя и	3	3
104	в котором	4	3
105	представить себе	5	3
106	и уже	3	3
107	в целом	5	3
108	не к	2	3
109	из них	3	3
110	жизни и	2	3
111	от того	3	3
112	что оно	2	3
113	во второй	3	3
114	и вот	3	3
115	и даже	5	3
116	нуждается в	2	3
117	сказать что	5	3
118	в начале	3	3
119	свое выражение	3	3
120	в виду	4	3
121	в одном	4	3
122	этого слова	2	3
123	об этом	5	3
124	в ее	11	3
125	том что	26	3
126	в тех	2	3
127	еще не	4	3
128	тех или	3	3
129	так называемой	3	3
130	что и	3	3
131	да и	4	3
132	только на	3	3
133	вряд ли	2	3
134	слова как	2	3
135	связь между	4	3
136	деятельности и	2	3
137	что такое	10	3
138	между ними	2	3
139	и для	4	3
140	конце концов	2	3
141	связи с	3	3
142	ответ на	3	3
143	зависит от	3	2
144	бы и	2	2
145	культурного развития	3	2
146	в частности	3	2
147	в какой	4	2
148	иное как	5	2
149	вопрос о	8	2
150	как уже	2	2
151	не нужно	2	2
152	литературное произведение	2	2
153	в том	31	2
154	времени и	4	2
155	до конца	3	2
156	и сам	2	2
157	несмотря на	2	2
158	из двух	2	2
159	себе и	2	2
160	или группы	2	2
161	не с	2	2
162	в этих	3	2
163	отношение к	3	2
164	не говоря	2	2
165	о них	2	2
166	как например	5	2
167	в связи	2	2
168	в отношении	2	2
169	этом отношении	3	2
170	еще и	3	2
171	все эти	3	2
172	должно быть	2	2
173	и те	2	2
174	в которых	6	2
175	каждый из	2	2
176	в своих	2	2
177	также и	16	2
178	даже и	3	2
179	что иное	4	2
180	мы имеем	3	2
181	ни к	2	2
182	смысле этого	8	2
183	однако в	3	2
184	с этим	2	2
185	к этому	3	2
186	ясно что	9	2
187	или иных	3	2
188	значение и	2	2
189	что он	4	2
190	есть не	3	2
191	материал для	3	2
192	и при	2	2
193	должна была	2	2
194	представляет собой	12	2
195	но не	7	2
196	по своему	5	2
197	одной из	3	2
198	гораздо более	3	2
199	не есть	4	2
200	в своей	4	2
201	с ней	2	2
202	этот процесс	3	2
203	сих пор	5	2
204	как нечто	8	2
205	здесь не	2	2
206	одной и	2	2
207	в значительной	2	2
208	из которых	2	2
209	к нему	2	2
210	в дальнейшем	2	2
211	этот вопрос	4	2
212	тем что	6	2
213	и вообще	3	2
