N	2gram	Voloshinov_1	Vvedenie
1	и в	12	32
2	в том	6	31
3	в этом	4	30
4	может быть	14	26
5	том что	5	26
6	не только	4	22
7	таким образом	12	19
8	то что	5	16
9	так как	9	15
10	не может	16	14
11	в самом	4	13
12	в нем	6	13
13	о том	3	13
14	того что	3	12
15	и не	10	12
16	как на	2	12
17	в его	2	12
18	только в	6	12
19	ясно что	3	11
20	в данном	2	11
21	что в	2	10
22	но в	5	9
23	между тем	3	9
24	по себе	3	9
25	то же	5	9
26	не менее	3	8
27	с другой	4	8
28	это не	2	8
29	тем не	3	8
30	не в	4	8
31	прежде всего	8	7
32	точки зрения	14	7
33	но не	2	7
34	все же	4	7
35	дело с	2	7
36	самом деле	3	7
37	до сих	3	6
38	но и	3	6
39	все это	3	6
40	в то	2	6
41	его в	4	6
42	как и	5	6
43	сих пор	3	6
44	хотя бы	5	6
45	и его	13	6
46	уже в	2	5
47	в какой	2	5
48	как бы	13	5
49	данном случае	2	5
50	другой стороны	2	5
51	сказать что	7	5
52	в них	3	5
53	не есть	2	5
54	вместе с	2	5
55	а не	5	5
56	что не	4	5
57	могут быть	2	5
58	независимо от	2	4
59	с этой	2	4
60	как уже	2	4
61	одной стороны	2	4
62	в котором	3	4
63	по отношению	11	4
64	в особенности	2	4
65	с одной	2	4
66	и что	2	4
67	как это	2	4
68	мы имеем	2	4
69	еще не	3	4
70	отношению к	11	4
71	в своей	3	4
72	уже не	4	4
73	и для	3	4
74	и то	2	4
75	и ее	3	4
76	в себе	3	4
77	истории литературы	2	3
78	зависит от	2	3
79	в этих	2	3
80	можно сказать	5	3
81	сливается с	2	3
82	да и	3	3
83	но все	2	3
84	но что	2	3
85	до конца	2	3
86	при этом	6	3
87	в ней	6	3
88	в виду	5	3
89	к нему	4	3
90	и уже	3	3
91	отношение к	4	3
92	в своем	2	3
93	все эти	3	3
94	так же	3	3
95	и на	4	3
96	свое выражение	4	3
97	тогда когда	2	3
98	если бы	9	3
99	так называемой	3	3
100	к этому	2	3
101	стороны и	2	3
102	и к	4	3
103	в чем	2	3
104	что и	2	3
105	дело в	4	3
106	в каком	3	3
107	и вообще	3	3
108	как только	2	2
109	все время	6	2
110	должна быть	5	2
111	и другие	2	2
112	никогда не	5	2
113	в отношении	2	2
114	но зато	2	2
115	но это	2	2
116	и др	5	2
117	не к	3	2
118	от того	4	2
119	в форме	2	2
120	с помощью	6	2
121	произведения и	3	2
122	этой стороны	2	2
123	и те	2	2
124	и совершенно	2	2
125	и с	3	2
126	и так	2	2
127	нуждается в	3	2
128	и здесь	2	2
129	литературы с	2	2
130	же самое	2	2
131	искусства и	2	2
132	так и	4	2
133	его к	2	2
134	литературы и	4	2
135	что мы	5	2
136	жизни и	4	2
137	быть и	3	2
138	только на	3	2
139	с чисто	2	2
140	между ними	2	2
141	с точки	2	2
142	мы не	3	2
143	мы можем	2	2
144	выражение в	2	2
145	еще раз	2	2
146	если же	2	2
147	здесь не	3	2
148	ничего не	2	2
