N	2gram	Bakhtin_Fr_2	Tragedij
1	и в	49	18
2	в романе	9	10
3	в году	13	9
4	в этом	15	9
5	не только	17	8
6	и не	15	7
7	и на	17	7
8	и с	6	7
9	может быть	5	7
10	как бы	11	7
11	что он	3	6
12	и его	17	6
13	же время	6	6
14	у него	2	6
15	но в	4	6
16	все же	7	5
17	так и	6	5
18	не может	7	5
19	то же	7	5
20	в дальнейшем	2	5
21	как и	11	5
22	в то	6	5
23	несмотря на	3	5
24	но и	13	4
25	то что	6	4
26	что в	2	4
27	все это	9	4
28	прежде всего	19	4
29	и все	3	4
30	в нем	9	4
31	и даже	2	4
32	так же	2	4
33	том что	4	4
34	но это	2	4
35	в этой	10	4
36	в себе	4	4
37	еще не	2	4
38	уже в	5	3
39	один из	7	3
40	с ее	3	3
41	о чем	3	3
42	в своем	5	3
43	никто не	2	3
44	в конце	2	3
45	все эти	7	3
46	жизнь и	2	3
47	к нему	3	3
48	в основном	5	3
49	в его	18	3
50	на страницах	2	3
51	для него	9	3
52	при этом	5	3
53	в мире	2	3
54	с ним	4	3
55	то есть	32	3
56	еще в	2	2
57	это был	2	2
58	под влиянием	2	2
59	и до	4	2
60	не был	3	2
61	но они	3	2
62	и за	2	2
63	в известной	4	2
64	с его	5	2
65	отношение к	8	2
66	ни в	3	2
67	он был	2	2
68	в ее	3	2
69	в том	3	2
70	до конца	2	2
71	но все	4	2
72	вряд ли	2	2
73	году в	4	2
74	одна из	4	2
75	лицо его	2	2
76	тем что	4	2
77	еще раз	2	2
78	по поводу	2	2
79	xix веке	3	2
80	по словам	2	2
81	о том	3	2
82	и это	3	2
83	в самом	3	2
84	ничего не	2	2
85	в одном	3	2
86	никогда не	5	2
